dataset_id,lineage,strategy,variable,association_type,association_value,status
"GSE154600","B_Plasma_like","A_uncorrected","nCount_RNA","eta_squared",0.250420275915774,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","nFeature_RNA","eta_squared",0.474675067171975,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","percent.mt","eta_squared",0.279884873085452,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","doublet_score","eta_squared",0.124723419288376,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","sample_id","cramers_v",0.765177863014391,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","patient_id","cramers_v",0.765177863014391,"COMPLETE"
"GSE154600","B_Plasma_like","A_uncorrected","timepoint","cramers_v",NA,"SKIPPED_METADATA_UNAVAILABLE"
"GSE154600","B_Plasma_like","A_uncorrected","treatment","cramers_v",NA,"SKIPPED_METADATA_UNAVAILABLE"
"GSE154600","B_Plasma_like","B_harmony_sample","nCount_RNA","eta_squared",0.222994547820612,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","nFeature_RNA","eta_squared",0.418010072181162,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","percent.mt","eta_squared",0.18125185689854,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","doublet_score","eta_squared",0.079934812548964,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","sample_id","cramers_v",0.277702441163312,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","patient_id","cramers_v",0.277702441163312,"COMPLETE"
"GSE154600","B_Plasma_like","B_harmony_sample","timepoint","cramers_v",NA,"SKIPPED_METADATA_UNAVAILABLE"
"GSE154600","B_Plasma_like","B_harmony_sample","treatment","cramers_v",NA,"SKIPPED_METADATA_UNAVAILABLE"
"GSE154600","B_Plasma_like","C_RPCA","nCount_RNA","eta_squared",0.366953724956914,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","nFeature_RNA","eta_squared",0.48244505163153,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","percent.mt","eta_squared",0.232697083120987,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","doublet_score","eta_squared",0.0921086464789941,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","sample_id","cramers_v",0.555990472616908,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","patient_id","cramers_v",0.555990472616908,"COMPLETE"
"GSE154600","B_Plasma_like","C_RPCA","timepoint","cramers_v",NA,"SKIPPED_METADATA_UNAVAILABLE"
