dataset_id,lineage,strategy,status,message
"GSE158722","B_Plasma_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","B_Plasma_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","B_Plasma_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","B_Plasma_like","C_RPCA","FAILED_CONTINUED","RPCA requires >=10 cells in every sample within lineage"
"GSE158722","Combined_broad_lineages","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","Combined_broad_lineages","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","Combined_broad_lineages","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","Combined_broad_lineages","C_RPCA","SKIPPED_MEMORY_GUARD_COMBINED_SCOPE","Combined scope is an extra cross-lineage audit; RPCA remains enabled within each individual broad lineage."
"GSE158722","Cycling_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","Cycling_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","Cycling_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","Cycling_like","C_RPCA","FAILED_CONTINUED","RPCA requires >=10 cells in every sample within lineage"
"GSE158722","Epithelial_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","Epithelial_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","Epithelial_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","Epithelial_like","C_RPCA","FAILED_CONTINUED","The total size of the 10 globals exported for future expression ('FUN()') is 6.34 GiB. This exceeds the maximum allowed size 6.00 GiB per plan() argument 'maxSizeOfObjects'. This limit is set to protect against transfering too large objects to parallel workers by mistake, which may not be intended and could be costly. See help(""future.globals.maxSize"", package = ""future"") for how to adjust or remove the default threshold via an R option The three largest globals are 'FUN' (4.46 GiB of class 'function'), 'object.list' (1.89 GiB of class 'list') and 'NNHelper' (9.67 KiB of class 'function')"
"GSE158722","Fibroblast_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","Fibroblast_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","Fibroblast_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","Fibroblast_like","C_RPCA","FAILED_CONTINUED","RPCA requires >=10 cells in every sample within lineage"
"GSE158722","Myeloid_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","Myeloid_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","Myeloid_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","Myeloid_like","C_RPCA","FAILED_CONTINUED","RPCA requires >=10 cells in every sample within lineage"
"GSE158722","T_NK_like","A_uncorrected","RESUMED_EXISTING",""
"GSE158722","T_NK_like","B_harmony_sample","RESUMED_EXISTING",""
"GSE158722","T_NK_like","B_harmony_patient","RESUMED_EXISTING",""
"GSE158722","T_NK_like","C_RPCA","FAILED_CONTINUED","RPCA requires >=10 cells in every sample within lineage"
