dataset_id,parent_broad_type,clustering_strategy,cluster,n_cells,suggested_broad_cell_type,suggested_family,canonical_evidence_strength,canonical_markers_present,second_candidate,second_support_n,cycling_state,cycling_markers_present,n_significant_markers,marker_status,lineage_conflict_flag,top20_significant_markers,top50_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,evidence_status,top_candidate,top_candidate_family,top_support_n,top_support_weight,cycling_marker_n
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__0",3116,"Fibroblast","stromal","high","COL1A1;COL6A1;COL1A2;DCN;LUM;COL3A1","Plasma_cell",5,"Non_cycling","",156,"READY_FOR_ANNOTATION",TRUE,"COMP;AEBP1;TIMP3;SFRP2;COL1A1;COL6A1;BGN;FN1;COL1A2;RARRES2;SPARC;THY1;DCN;LUM;NBL1;IGFBP2;TPM2;CCDC80;COL3A1;MMP11","COMP;AEBP1;TIMP3;SFRP2;COL1A1;COL6A1;BGN;FN1;COL1A2;RARRES2;SPARC;THY1;DCN;LUM;NBL1;IGFBP2;TPM2;CCDC80;COL3A1;MMP11;SLPI;CALD1;IGFBP7;PTGDS;LGALS1;ACTA2;CTGF;MYL9;WFDC2;TPM1;TAGLN;NUPR1;RPS26;IGHA1;IFITM3;FOSB;TIMP1;NNMT;TUBA4A;RGCC;PABPC1;DYNC1I2;ITM2C;SELENOM;PABPC4;CLU;TUBA1A;CCL4L2;NMT1;LMNA","","","","","SUPPORTED","Fibroblast","stromal",6,6.64628402910649,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__1",1614,"NK_cell","lymphoid","high","KLRD1;NKG7;PRF1;CTSW","T_cell",2,"Cycling_possible","HMGB2",306,"READY_FOR_ANNOTATION",FALSE,"CMC1;HLA-DQA2;MT1X;RBM38;YBX3;TRGC2;MT1E;LYST;KLRD1;CRTAM;PPP1R14B;PARP8;PIP4K2A;RPL17;LYAR;LINC00513;ZFP36;TRAT1;KLF2;AKNA","CMC1;HLA-DQA2;MT1X;RBM38;YBX3;TRGC2;MT1E;LYST;KLRD1;CRTAM;PPP1R14B;PARP8;PIP4K2A;RPL17;LYAR;LINC00513;ZFP36;TRAT1;KLF2;AKNA;CNOT6L;ARHGEF1;FKBP5;SMAP2;AC114760.2;PTP4A2;IFRD1;ETS1;CRYBG1;CD8A;NKG7;RNF125;NSMCE3;CRIP1;CDC42SE1;CMPK1;PPP2R5C;H1FX;HCST;UBE2S;S1PR4;GZMK;ZFP36L2;CD8B;CST7;RUNX3;RPL36A;AC026979.2;LINC01871;AC058791.1","","","","","SUPPORTED","NK_cell","lymphoid",4,1.47661192924764,1
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__10",137,"Epithelial","epithelial","moderate","KRT17;KRT18;KRT8","Myeloid",3,"Cycling_high","MKI67;TOP2A;TYMS;CDK1;UBE2C;CENPF;CCNB2;CDC20;STMN1;CCNB1;HMGB2;PCNA;TUBA1B",1122,"READY_FOR_ANNOTATION",TRUE,"RRM2;CCNA2;ASPM;GTSE1;MKI67;BIRC5;SPC25;CENPA;ZWINT;TOP2A;CDT1;GINS2;CENPU;CDCA8;PCLAF;TYMS;AURKB;NUSAP1;CLSPN;CDK1","RRM2;CCNA2;ASPM;GTSE1;MKI67;BIRC5;SPC25;CENPA;ZWINT;TOP2A;CDT1;GINS2;CENPU;CDCA8;PCLAF;TYMS;AURKB;NUSAP1;CLSPN;CDK1;ASF1B;RAD51AP1;UBE2C;SGO1;KIFC1;CDKN3;CENPN;CENPF;CDCA5;CCNB2;TPX2;CDC20;TK1;MAD2L1;SMC2;ORC6;FEN1;STMN1;PHF19;CCNB1;UBE2T;CCDC34;NDC80;GGH;HMGB2;TMEM106C;CENPM;MCM7;CENPK;HMGB3","","","","","SUPPORTED","Epithelial","epithelial",3,1.13198017144096,13
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__11",63,"Erythroid","erythroid","high","ALAS2;HBB;HBA1;HBA2","Epithelial",0,"Non_cycling","",5,"FEW_SIGNIFICANT_MARKERS_REVIEW",TRUE,"ALAS2;HBB;HBA1;HBA2;SLC25A37","ALAS2;HBB;HBA1;HBA2;SLC25A37","","","","","SUPPORTED","Erythroid","erythroid",4,36.2769134866521,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__12",37,"Mast","myeloid","high","TPSAB1;TPSB2;CPA3;HDC;MS4A2;HPGDS","Myeloid",2,"Non_cycling","",64,"READY_FOR_ANNOTATION",TRUE,"CTSG;TPSAB1;TPSB2;CPA3;HDC;AL157895.1;MS4A2;HPGDS;SLC18A2;RGS13;IL1RL1;GATA2;MAOB;VWA5A;TMEM233;KRT1;RHEX;LTC4S;CPM;HPGD","CTSG;TPSAB1;TPSB2;CPA3;HDC;AL157895.1;MS4A2;HPGDS;SLC18A2;RGS13;IL1RL1;GATA2;MAOB;VWA5A;TMEM233;KRT1;RHEX;LTC4S;CPM;HPGD;GMPR;NTM;DUSP6;AREG;FCER1G;RNF130;PLAUR;THAP2;CD69;LMO4;ASAH1;DUSP10;CLU;RGS2;CAPG;LAPTM4A;TMEM176B;ANKRD28;CD9;NFKBIZ;GPR65;LMNA;SELENOK;GLUL;TYROBP;NMT2;TMEM9B;CD84;FTH1;ANXA1","","","","","SUPPORTED","Mast","myeloid",6,54.5491518738701,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__2",1376,"Ambiguous",NA,"low","IGKC","Epithelial",1,"Non_cycling","",29,"READY_FOR_ANNOTATION",FALSE,"EGR1;GADD45B;HSPA1A;FOS;JUN;TAGLN;CD69;FOSB;KLF6;IGLC2;HSP90AA1;IFITM3;RARRES2;WFDC2;MALAT1;SLPI;LGALS1;FN1;COL1A1;IGKC","EGR1;GADD45B;HSPA1A;FOS;JUN;TAGLN;CD69;FOSB;KLF6;IGLC2;HSP90AA1;IFITM3;RARRES2;WFDC2;MALAT1;SLPI;LGALS1;FN1;COL1A1;IGKC;CD63;FTL;HSP90AB1;MT-ATP6;MT-CYB;MT-ND2;MT-CO3;MT-ND1;MT-ND4","","","","","INSUFFICIENT_CANONICAL_SUPPORT","Plasma_cell","lymphoid",1,0.465044271415929,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__3",1334,"Mixed_or_doublet",NA,"high","KRT17;KRT8;KRT18;KRT19","Myeloid",4,"Cycling_possible","STMN1;TUBA1B",210,"READY_FOR_ANNOTATION",TRUE,"MMP7;CCR7;KRT17;SPINT2;KRT8;KRT18;CD9;MDK;SPP1;EIF5A;SC5D;MTCH1;CAPG;GPR171;CD47;APOE;GPR65;YWHAE;GPR183;C1QB","MMP7;CCR7;KRT17;SPINT2;KRT8;KRT18;CD9;MDK;SPP1;EIF5A;SC5D;MTCH1;CAPG;GPR171;CD47;APOE;GPR65;YWHAE;GPR183;C1QB;NFKBIA;C1QA;CMTM6;TMED2;GNLY;MEA1;KRT19;LTB;CNPY3;AC058791.1;BIRC3;HMGA1;NPC2;STMN1;SOCS1;TYMP;HLA-DQB1;IFI6;AP2M1;AREG;IL7R;ATP6V0B;ARPC5;CD69;TM4SF1;ACTR3;CMTM7;RPLP0;DYNLT1;SNRPB","","","","","CONFLICTING_LINEAGE_EVIDENCE","Epithelial","epithelial",4,3.09320785987954,2
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__4",1168,"T_cell","lymphoid","high","LTB;TRBC1;CD2;LCK;CD247;TRBC2;CD3D","Myeloid",4,"Non_cycling","",429,"READY_FOR_ANNOTATION",FALSE,"FOXP3;IL2RA;TNFRSF18;TNFRSF4;TNFRSF9;MAGEH1;LINC01943;TBC1D4;BATF;CTLA4;TIGIT;LTB;ACP5;PMAIP1;CARD16;HTATIP2;CORO1B;ICOS;GLRX;CD27","FOXP3;IL2RA;TNFRSF18;TNFRSF4;TNFRSF9;MAGEH1;LINC01943;TBC1D4;BATF;CTLA4;TIGIT;LTB;ACP5;PMAIP1;CARD16;HTATIP2;CORO1B;ICOS;GLRX;CD27;SIRPG;GBP2;ID3;EPSTI1;TYMP;PRDM1;TNFRSF1B;SYNGR2;CXCR6;TMEM173;UGP2;MIR4435-2HG;BTG3;ARID5B;PBXIP1;CTSC;RHBDD2;IL32;DNPH1;SAT1;UCP2;NAMPT;PHLDA1;CNIH1;SPOCK2;CASP1;CD7;SELL;MX1;S100A4","","","","","SUPPORTED","T_cell","lymphoid",7,4.46490974131867,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__5",1114,"T_cell","lymphoid","moderate","IL7R;ITK","Plasma_cell",1,"Non_cycling","",244,"READY_FOR_ANNOTATION",FALSE,"PTGER2;LEF1;KLRB1;MT1X;TOB1;KLF2;RPL17;IL7R;RPL36A;ZFP36;PLAC8;CRYBG1;DUSP5;TCF7;PTGER4;RPS17;ZFP36L2;PER1;CMPK1;FKBP5","PTGER2;LEF1;KLRB1;MT1X;TOB1;KLF2;RPL17;IL7R;RPL36A;ZFP36;PLAC8;CRYBG1;DUSP5;TCF7;PTGER4;RPS17;ZFP36L2;PER1;CMPK1;FKBP5;RPS21;PIM2;KLF3;RPL34;RPS28;SMAP2;LINC00513;RPL38;CD55;RPS10;RPS29;FAM107B;RPL21;AC016831.5;RPS25;RPL23A;CEBPB;RPL39;RPL36;WDR74;SOCS3;PARP8;RPLP2;RPL27;RNF139;RPS27;RPL32;TMEM123;RPL37;PPP1CB","","","","","SUPPORTED","T_cell","lymphoid",2,1.6591865329785,0
"GSE154600","T_cell","B_harmony_sample","T_cell__B_harmony_sample__6",1083,"T_cell","lymphoid","high","TRBC2;GIMAP7;CD2;CD247;CD3D;CD3G;CD3E","Myeloid",4,"Cycling_possible","STMN1",432,"READY_FOR_ANNOTATION",FALSE,"HAVCR2;HSPA1A;GZMB;CXCL13;APOC1;LAG3;S100A1;HES1;PRF1;HLA-DQA2;IGHGP;SNCG;IGLC3;CXCR6;RAB13;NKG7;LINC01871;CHST12;CD8A;IGHG4","HAVCR2;HSPA1A;GZMB;CXCL13;APOC1;LAG3;S100A1;HES1;PRF1;HLA-DQA2;IGHGP;SNCG;IGLC3;CXCR6;RAB13;NKG7;LINC01871;CHST12;CD8A;IGHG4;GZMH;TUBB;IMPDH2;JAML;CCL5;IGHG3;CCT5;PUF60;IGHG1;HSPD1;HSPE1;CACYBP;RAB27A;FXR1;PTMS;NUDC;CD8B;NUCB2;CD27;CTSW;IGKC;GZMA;ALOX5AP;LSM2;CTSC;UQCRH;HLA-DRB5;HSPH1;APOE;NELFE","","","","","SUPPORTED","T_cell","lymphoid",7,1.60495600003244,1
