dataset_id,cluster,final_cell_type,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,n_patients,dominant_patient,dominant_patient_fraction,dominant_sample,dominant_sample_fraction,patient_enriched,platform_confounded,suggested_cell_type,canonical_support_n,high_specific_support_n,canonical_markers_present,second_candidate,incompatible_lineage_program,n_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,initial_cell_type,dominant_platform,dominant_platform_fraction
"GSE158722","B_cell__A_uncorrected__0","B_cell","IFN_response","REVIEW_PATIENT_ENRICHED","Review",135,7,5,"P07",0.955555555555556,"P07_Time1",0.881481481481482,TRUE,NA,"B_cell",11,4,"MS4A1;CD79A;VPREB3;CD79B;CD19;TNFRSF13C;CD37;BANK1;CD22;HLA-DRA;CD74",NA,FALSE,298,"","","","","B_cell",NA,NA
"GSE158722","B_cell__A_uncorrected__1","B_cell","None","REVIEW_PATIENT_ENRICHED","Review",35,1,1,"P04",1,"P04_Time3",1,TRUE,NA,"B_cell",9,3,"CD79A;MS4A1;CD79B;TNFRSF13C;CD37;BANK1;CD22;HLA-DRA;CD74",NA,FALSE,336,"","","","","B_cell",NA,NA
"GSE158722","Endothelial__broad_type_only__1","Endothelial","None","REVIEW_AMBIGUOUS","Review",38,9,7,"P23",0.552631578947369,"P23_Post-treatment",0.552631578947369,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Endothelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__0","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",3541,13,10,"P08",0.994634284100537,"P08_Time1",0.990963004800904,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__1","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",3250,2,2,"P21",0.999692307692308,"P21_Post-treatment",0.999692307692308,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__10","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",1309,3,3,"P23",0.996180290297937,"P23_Post-treatment",0.996180290297937,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__11","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",1093,4,3,"P07",0.998170173833486,"P07_Time1",0.977127172918573,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__12","Epithelial","None","REVIEW_AMBIGUOUS","Review",1064,27,21,"P16",0.370300751879699,"P16_Pre-treatment",0.370300751879699,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__13","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",886,4,2,"P08",0.998871331828443,"P08_Time3",0.948081264108352,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__14","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",881,6,5,"P15",0.994324631101022,"P15_Pre-treatment",0.994324631101022,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__15","Epithelial","None","REVIEW_AMBIGUOUS","Review",860,16,15,"P20",0.42093023255814,"P20_Post-treatment",0.42093023255814,FALSE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__16","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",838,10,8,"P06",0.973747016706444,"P06_Time1",0.573985680190931,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__17","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",811,8,6,"P04",0.991368680641184,"P04_Time2",0.838471023427867,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
"GSE158722","Epithelial__A_uncorrected__18","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",693,3,1,"P09",1,"P09_Time3",0.467532467532468,TRUE,NA,"Unresolved",0,0,"",NA,FALSE,0,"","","","","Epithelial",NA,NA
