dataset_id,old_parent_type,old_cluster,new_cell_type,supporting_markers,n_cells_before,n_cells_retained,rescue_confidence,notes
"GSE158722","Epithelial","Epithelial__A_uncorrected__1","NK_cell","",4996,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__1","Monocyte","",4996,7,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__1","Fibroblast","",4996,5,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__11","Monocyte","",1677,7,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__13","Monocyte","",1468,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__13","Fibroblast","",1468,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__14","Monocyte","",1416,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__14","Erythroid","",1416,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__15","Fibroblast","",1387,2,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__21","Fibroblast","",874,2,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","Monocyte","",4924,95,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","Macrophage","",4924,30,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","pDC","",4924,2,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","Fibroblast","",4924,9,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","Plasma_cell","",4924,3,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","NK_cell","",4924,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__30","Endothelial","CLDN5;RAMP3;RAMP2;EMCN;KDR;ESAM;VWF;ENG",38,38,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__4","Erythroid","",3469,4,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Epithelial","Epithelial__A_uncorrected__4","Monocyte","",3469,6,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__0","Epithelial","",830,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__10","Epithelial","",69,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__3","Epithelial","",720,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__3","Monocyte","",720,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__7","Epithelial","",237,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__8","Epithelial","",96,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","T_NK","T_NK__A_uncorrected__8","Erythroid","",53,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","T_NK","T_NK__A_uncorrected__9","B_cell","CD79A;MS4A1;CD79B;TNFRSF13C;CD37;BANK1;HLA-DRA;CD74",29,29,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__0","Monocyte","TYROBP;LYZ;FCN1;FCER1G;VCAN;CTSS;S100A8;SAT1",813,775,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__1","Epithelial","",685,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__1","Fibroblast","",685,331,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__1","Monocyte","",685,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__2","Epithelial","",230,2,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__2","Fibroblast","",230,1,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__3","cDC1","CLEC9A;IRF8;BATF3;CST3;CADM1",160,160,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__4","Fibroblast","COL1A1;COL1A2;COL3A1",147,147,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__5","B_cell","MS4A1;CD79A;VPREB3;CD79B;CD19;TNFRSF13C;CD37;BANK1;CD22;HLA-DRA;CD74",140,140,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__6","pDC","CLEC4C;LILRA4;IL3RA;SERPINF1;GZMB;TCF4",86,14,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__6","Plasma_cell","CLEC4C;LILRA4;IL3RA;SERPINF1;GZMB;TCF4",86,8,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__6","Monocyte","CLEC4C;LILRA4;IL3RA;SERPINF1;GZMB;TCF4",86,5,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__6","NK_cell","CLEC4C;LILRA4;IL3RA;SERPINF1;GZMB;TCF4",86,1,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__6","B_cell","CLEC4C;LILRA4;IL3RA;SERPINF1;GZMB;TCF4",86,1,"High","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__8","Fibroblast","",33,13,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
"GSE158722","Unresolved_review","Unresolved_review__A_uncorrected__8","Epithelial","",33,NA,"Moderate","Post-DecontX canonical evidence; old parent constraint removed."
