dataset_id,old_parent_broad_type,old_cluster,suggested_broad_cell_type,refined_broad_family,n_cells,reference_eligible,exclusion_reason
"GSE154600","T_cell","T_cell__B_harmony_sample__0","Fibroblast","Fibroblast",3116,FALSE,"lineage_conflict"
"GSE154600","T_cell","T_cell__B_harmony_sample__1","NK_cell","T_NK",1614,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__10","Epithelial","Epithelial",137,FALSE,"lineage_conflict"
"GSE154600","T_cell","T_cell__B_harmony_sample__11","Erythroid","Erythroid",63,FALSE,"lineage_conflict"
"GSE154600","T_cell","T_cell__B_harmony_sample__12","Mast","Myeloid",37,FALSE,"lineage_conflict"
"GSE154600","T_cell","T_cell__B_harmony_sample__2","Ambiguous",NA,1376,FALSE,"ambiguous_or_mixed"
"GSE154600","T_cell","T_cell__B_harmony_sample__3","Mixed_or_doublet",NA,1334,FALSE,"lineage_conflict"
"GSE154600","T_cell","T_cell__B_harmony_sample__4","T_cell","T_NK",1168,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__5","T_cell","T_NK",1114,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__6","T_cell","T_NK",1083,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__7","T_cell","T_NK",455,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__8","NK_cell","T_NK",341,TRUE,""
"GSE154600","T_cell","T_cell__B_harmony_sample__9","NK_cell","T_NK",309,TRUE,""
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__0","Mixed_or_doublet",NA,1518,FALSE,"lineage_conflict"
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__1","Epithelial","Epithelial",751,FALSE,"lineage_conflict"
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__2","Ambiguous",NA,608,FALSE,"ambiguous_or_mixed"
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__3","Ambiguous",NA,474,FALSE,"ambiguous_or_mixed"
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__4","Fibroblast","Fibroblast",288,TRUE,""
"GSE154600","Fibroblast","Fibroblast__A_uncorrected__5","Ambiguous",NA,127,FALSE,"ambiguous_or_mixed"
"GSE154600","Myeloid","Myeloid__B_harmony_sample__0","Fibroblast","Fibroblast",1198,FALSE,"lineage_conflict"
