dataset_id,parent_broad_type,clustering_strategy,cluster,n_cells,n_samples,n_patients,dominant_sample,dominant_sample_fraction,suggested_broad_cell_type,canonical_evidence_strength,canonical_markers_present,second_candidate,cycling_state,cycling_markers_present,n_significant_markers,marker_status,lineage_conflict_flag,top20_significant_markers,top50_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,evidence_status,second_support_n
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__0",6613,9,7,"P05_Time1",0.356419174353546,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__1",4996,28,19,"P08_Time1",0.738190552441954,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__10",1841,22,19,"P17_Pre-treatment",0.447039652362846,"Epithelial","high","TACSTD2;KRT8;KRT7;EPCAM;KRT18;KRT19","Pericyte","Cycling_high","CCNB2;PCNA;CCNB1;CENPF;STMN1",1125,"READY_FOR_ANNOTATION",FALSE,"CSDE1;MUC5B;NRAS;POP4;NCCRP1;CST6;LRRTM1;BCAS2;ITGA2;SIKE1;FAM83A;UQCRFS1;F3;URI1;FN1;S100A4;GPRC5A;CTSC;C19orf12;PLEKHF1","CSDE1;MUC5B;NRAS;POP4;NCCRP1;CST6;LRRTM1;BCAS2;ITGA2;SIKE1;FAM83A;UQCRFS1;F3;URI1;FN1;S100A4;GPRC5A;CTSC;C19orf12;PLEKHF1;TGM2;NLRP2;TMEM256;CLDN6;C15orf48;MALL;PITPNA;PLAT;ADAM28;NMB;BASP1;INO80C;TMEM51;S100A2;DSG2;DSC2;CCNE1;CAMK2N1;NQO1;DEPTOR;RASIP1;DHRS9;KRBOX1;CDH2;PLLP;S100A8;KLK7;AQP3;TNFRSF21;ARL4C","","","","","SUPPORTED",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__11",1677,7,7,"P23_Post-treatment",0.99582587954681,"Mixed_or_doublet","moderate","WFDC2;EPCAM;CLDN3","Plasma_cell","Non_cycling","",345,"REVIEW_MIXED_OR_DOUBLET",TRUE,"CRLF1;SFRP1;BEX1;ACSL4;AGR2;CLDN9;PCSK1N;SCD;L1CAM;SSR4;CADM1;ITM2C;CHPF;FAM107A;CXCL17;BCAT1;NUCB2;SIX1;PYCR1;CETN2","CRLF1;SFRP1;BEX1;ACSL4;AGR2;CLDN9;PCSK1N;SCD;L1CAM;SSR4;CADM1;ITM2C;CHPF;FAM107A;CXCL17;BCAT1;NUCB2;SIX1;PYCR1;CETN2;COX11;PMEPA1;DAP;HSBP1;APP;ATP6AP1;AQP5;MAGT1;FXYD5;TSPAN13;TMEM245;TPBG;FCGRT;WFDC2;COMMD6;TSPAN6;FGFR1;VBP1;METRN;SH3BGRL;ATRAID;CTSZ;TOB1;VMA21;IGF1R;SOX9;BMP7;HLA-DRB5;CIB1;TCEAL8","","","","","CONFLICTING_LINEAGE_EVIDENCE",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__12",1612,6,6,"P13_Pre-treatment",0.993796526054591,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__13",1468,10,6,"P06_Time1",0.642370572207085,"Epithelial","high","MSLN;TACSTD2;MUC16;WFDC2;KRT7","Pericyte","Cycling_possible","CCNB1;TUBA1B",1293,"READY_FOR_ANNOTATION",FALSE,"DEFB123;TBX10;TCEAL2;ECE2;LBHD1;ITGA10;MAGEA4;ALDOA;SCO2;RPL23A;BEX1;RAB34;ALDOC;GSPT2;MYOM1;IGF2;PRR4;BOLA2-SMG1P6;SDF2;RNASEH2A","DEFB123;TBX10;TCEAL2;ECE2;LBHD1;ITGA10;MAGEA4;ALDOA;SCO2;RPL23A;BEX1;RAB34;ALDOC;GSPT2;MYOM1;IGF2;PRR4;BOLA2-SMG1P6;SDF2;RNASEH2A;SLC46A1;HIST1H2BK;SRCAP;IGFBP6;OBP2A;RAD50;PIGS;EGLN2;ERAL1;ZC3H11A;PCSK1N;SUPT6H;TNFAIP1;TNNT1;IL32;AK6;PDE4C;TLCD1;SERPINE2;POLDIP2;RAD51B;EIF1;LEMD1;KIAA0100;CELF2;POLD4;TMEM199;U2AF1;NFKBIE;UNC119","","","","","SUPPORTED",2
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__14",1416,19,16,"P15_Pre-treatment",0.967514124293785,"Ambiguous","low","","T_cell","Cycling_possible","HMGB2",245,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,"C12orf75;TMCC3;PROM1;MMP7;MACROD2;TXNRD1;SAA2;TALDO1;SAA1;NUPR1;IL32;RPLP2;S100A1;IRS2;RGS10;ASRGL1;GPX3;SOD2;RPL27A;PSMA1","C12orf75;TMCC3;PROM1;MMP7;MACROD2;TXNRD1;SAA2;TALDO1;SAA1;NUPR1;IL32;RPLP2;S100A1;IRS2;RGS10;ASRGL1;GPX3;SOD2;RPL27A;PSMA1;RPS13;PPIA;REV3L;CRYAB;RPS26;SCGB2A1;POLR2L;PEBP1;RPL6;SNRPF;RPL7;SOX17;RPS12;HMGB2;RPL29;RPL21;HMGA1;TKT;AKAP12;PA2G4;RPL34;RPS3A;RPL10;RPL19;CDKN2A;H2AFZ;ENO1;LDHA;EEF1A1;SET","","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__15",1387,11,10,"P07_Time1",0.96395097332372,"Epithelial","moderate","MSLN;MUC1;PAX8","Myeloid","Non_cycling","",943,"READY_FOR_ANNOTATION",FALSE,"SORCS1;SYNE1;GUCY1A2;PLA2R1;MLXIPL;KIF12;GRIK5;NPIPB15;ITGA1;PNCK;SCN1B;ZNF774;VNN1;CCHCR1;KCNC3;THBS1;PALM3;SPATA6L;MAPK10;CTIF","SORCS1;SYNE1;GUCY1A2;PLA2R1;MLXIPL;KIF12;GRIK5;NPIPB15;ITGA1;PNCK;SCN1B;ZNF774;VNN1;CCHCR1;KCNC3;THBS1;PALM3;SPATA6L;MAPK10;CTIF;VPS53;ZMAT1;RPGR;ARFGAP1;KIFC2;PTPRM;MAPK15;FBXO17;ASPHD1;WDR90;UGT2B7;ZNF440;ZNF439;FOSB;ZNF611;KCNK6;LONRF2;EME2;LRRC41;COL27A1;IFI44L;DNM1;CLCN5;ACAP3;B4GALNT4;RIMKLB;LENG8;ADGRG6;ARL5B;SLC22A5","","","","","SUPPORTED",1
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__16",1379,4,2,"P09_Time2",0.572878897751994,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
"GSE158722","Epithelial","A_uncorrected","Epithelial__A_uncorrected__17",1328,4,2,"P08_Time3",0.963855421686747,"Ambiguous","low","","T_cell","Non_cycling","",NA,"REVIEW_AMBIGUOUS_LINEAGE",FALSE,NA,NA,"","","","","INSUFFICIENT_CANONICAL_SUPPORT",0
