dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,sample_entropy,simpson_diversity,effective_sample_number,dominance_label,patient_enriched
"GSE147082","All","A_uncorrected","3",577,2,"PT-3232",576,0.998266897746967,0.00711612832997806,0.00346019721922697,1.00347221175669,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","2",595,6,"PT-3401",214,0.359663865546219,0.816337941755087,0.741512605042017,3.86866059817945,"mixed",FALSE
"GSE147082","All","A_uncorrected","8",387,4,"PT-2834",383,0.989664082687339,0.0381111119382883,0.0205249417436184,1.02095504277583,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","6",470,6,"PT-3401",257,0.546808510638298,0.639568837512989,0.603404255319149,2.52145922746781,"mixed",FALSE
"GSE147082","All","A_uncorrected","5",506,6,"PT-3401",317,0.626482213438735,0.563339909066467,0.536065240825509,2.15547548491379,"moderate_sample_dominance",FALSE
"GSE147082","All","A_uncorrected","17",45,5,"PT-3401",31,0.688888888888889,0.501481788078331,0.473086419753086,1.89784442361762,"moderate_sample_dominance",FALSE
"GSE147082","All","A_uncorrected","10",352,6,"PT-3401",264,0.75,0.412381654003207,0.395919421487603,1.6554082941428,"moderate_sample_dominance",FALSE
"GSE147082","All","A_uncorrected","11",329,6,"PT-6885",193,0.586626139817629,0.548163247145465,0.546927689138127,2.20715319834424,"mixed",FALSE
"GSE147082","All","A_uncorrected","14",201,6,"PT-5150",81,0.402985074626866,0.753167059181033,0.698745080567313,3.31944786788267,"mixed",FALSE
"GSE147082","All","A_uncorrected","0",774,6,"PT-4806",312,0.403100775193798,0.815994518258897,0.72663902409711,3.65816663002858,"mixed",FALSE
"GSE147082","All","A_uncorrected","16",135,6,"PT-3401",42,0.311111111111111,0.8439799293559,0.751056241426612,4.01697156711483,"mixed",FALSE
"GSE147082","All","A_uncorrected","12",280,5,"PT-3401",226,0.807142857142857,0.359245205295388,0.326224489795918,1.4841738603665,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","13",227,6,"PT-6885",148,0.651982378854626,0.607462305260781,0.533680063653477,2.14445045569936,"moderate_sample_dominance",FALSE
"GSE147082","All","A_uncorrected","15",144,6,"PT-5150",46,0.319444444444444,0.850031059819679,0.758969907407407,4.14885954381753,"mixed",FALSE
"GSE147082","All","A_uncorrected","9",371,4,"PT-4806",368,0.991913746630728,0.0311946893336599,0.0160853234138084,1.01634829096118,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","1",608,4,"PT-3401",601,0.988486842105263,0.0412150935637913,0.0228369546398892,1.02337066956055,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","19",26,2,"PT-3401",25,0.961538461538461,0.090985219999759,0.0739644970414202,1.07987220447284,"moderate_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","18",33,3,"PT-3401",26,0.787878787878788,0.336958152986683,0.345270890725436,1.5273492286115,"moderate_sample_dominance",FALSE
"GSE147082","All","A_uncorrected","4",507,3,"PT-2834",504,0.994082840236686,0.0223358133277024,0.0117798552027046,1.01192027430803,"strong_sample_dominance",TRUE
"GSE147082","All","A_uncorrected","7",426,1,"PT-2834",426,1,0,0,1,"strong_sample_dominance",TRUE
