final_cell_type,sample_id,gene,n_cells,average_expression,positive_fraction,CD44_ITGB1_module_mean
"Blood_endothelial","FT-SA23505","CD44",40,0.102942468894178,0.05,-0.197280125059237
"Blood_endothelial","FT-SA23505","ITGB1",40,0.855089140226364,0.45,-0.197280125059237
"Blood_endothelial","FT-SA23505","SPP1",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","C1QA",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","C1QB",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","C1QC",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","FOLR2",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","TREM2",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","EPCAM",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","PAX8",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","OVGP1",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23505","FOXJ1",40,0,0,-0.197280125059237
"Blood_endothelial","FT-SA23508","CD44",9,0.189262064305909,0.111111111111111,-0.200215854471913
"Blood_endothelial","FT-SA23508","ITGB1",9,0.466381587984488,0.222222222222222,-0.200215854471913
"Blood_endothelial","FT-SA23508","SPP1",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","C1QA",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","C1QB",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","C1QC",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","FOLR2",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","TREM2",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","EPCAM",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","PAX8",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23508","OVGP1",9,0.365819628326604,0.111111111111111,-0.200215854471913
"Blood_endothelial","FT-SA23508","FOXJ1",9,0,0,-0.200215854471913
"Blood_endothelial","FT-SA23509","CD44",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","ITGB1",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","SPP1",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","C1QA",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","C1QB",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","C1QC",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","FOLR2",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","TREM2",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","EPCAM",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","PAX8",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","OVGP1",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23509","FOXJ1",1,0,0,-0.323142138904264
"Blood_endothelial","FT-SA23510","CD44",80,0.310866605817625,0.2125,-0.0589131984270235
"Blood_endothelial","FT-SA23510","ITGB1",80,1.04475026267448,0.6,-0.0589131984270235
"Blood_endothelial","FT-SA23510","SPP1",80,0.039490321949657,0.025,-0.0589131984270235
"Blood_endothelial","FT-SA23510","C1QA",80,0.010321543626299,0.0125,-0.0589131984270235
"Blood_endothelial","FT-SA23510","C1QB",80,0,0,-0.0589131984270235
"Blood_endothelial","FT-SA23510","C1QC",80,0.0184389537879633,0.0125,-0.0589131984270235
"Blood_endothelial","FT-SA23510","FOLR2",80,0,0,-0.0589131984270235
"Blood_endothelial","FT-SA23510","TREM2",80,0,0,-0.0589131984270235
"Blood_endothelial","FT-SA23510","EPCAM",80,0.0722770655958432,0.05,-0.0589131984270235
"Blood_endothelial","FT-SA23510","PAX8",80,0.0189422119003776,0.0125,-0.0589131984270235
"Blood_endothelial","FT-SA23510","OVGP1",80,0.0298719172339599,0.0125,-0.0589131984270235
"Blood_endothelial","FT-SA23510","FOXJ1",80,0,0,-0.0589131984270235
"Blood_endothelial","FT-SA23513","CD44",66,0.16654324041552,0.0606060606060606,-0.301069753906149
"Blood_endothelial","FT-SA23513","ITGB1",66,0.176293991518311,0.0757575757575758,-0.301069753906149
"Blood_endothelial","FT-SA23513","SPP1",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","C1QA",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","C1QB",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","C1QC",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","FOLR2",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","TREM2",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","EPCAM",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","PAX8",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","OVGP1",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23513","FOXJ1",66,0,0,-0.301069753906149
"Blood_endothelial","FT-SA23514","CD44",29,0.105560787426658,0.0689655172413793,-0.311262484691019
"Blood_endothelial","FT-SA23514","ITGB1",29,0.599078516452747,0.344827586206897,-0.311262484691019
"Blood_endothelial","FT-SA23514","SPP1",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","C1QA",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","C1QB",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","C1QC",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","FOLR2",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","TREM2",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","EPCAM",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","PAX8",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23514","OVGP1",29,0.196072436627075,0.103448275862069,-0.311262484691019
"Blood_endothelial","FT-SA23514","FOXJ1",29,0,0,-0.311262484691019
"Blood_endothelial","FT-SA23515","CD44",47,0.256139722777774,0.127659574468085,-0.0379877879321041
"Blood_endothelial","FT-SA23515","ITGB1",47,0.873617866217957,0.446808510638298,-0.0379877879321041
"Blood_endothelial","FT-SA23515","SPP1",47,0,0,-0.0379877879321041
"Blood_endothelial","FT-SA23515","C1QA",47,0.0754318084483279,0.0425531914893617,-0.0379877879321041
"Blood_endothelial","FT-SA23515","C1QB",47,0,0,-0.0379877879321041
"Blood_endothelial","FT-SA23515","C1QC",47,0,0,-0.0379877879321041
"Blood_endothelial","FT-SA23515","FOLR2",47,0,0,-0.0379877879321041
"Blood_endothelial","FT-SA23515","TREM2",47,0,0,-0.0379877879321041
