dataset_id,analysis_role,cluster,final_cell_type,cell_subtype,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,dominant_sample,dominant_sample_fraction,sample_entropy,patient_enriched,canonical_markers,top20_markers,canonical_support_n,high_specific_support_n,second_candidate,incompatible_lineage_program,n_significant_markers,notes
"GSE151214","normal_fallopian_tube_reference","0","T_cell","","None","READY_HIGH_CONFIDENCE","High",9899,7,"FT-SA23509",0.532174967168401,0.347009100036955,FALSE,"TRBC1;TRBC2;CD3D;CD3E;CD2;LCK;CD3G","BIK;CD8A;DUSP4;WHRN;NSMCE3;RGCC;ORAI1;BORCS5;SRSF2;CXCL16;LAG3;MCL1;RNF166;SPOCK2;SLBP;SARAF;GSPT1;CDK17;BTG1;SH2D2A",7,4,"Gamma_delta_T",FALSE,603,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","1","T_cell","","None","READY_HIGH_CONFIDENCE","High",4205,9,"FT-SA23513",0.313912009512485,0.686469110935906,FALSE,"IL7R;CD2;CD3G;CD3D;CD3E;TRBC1;LCK;TRBC2","CD40LG;CCR6;BATF;IL7R;TRAT1;TNFAIP8;TXNIP;THEMIS;FKBP5;SCML4;GIMAP7;CCR7;GPR171;TRAF3IP3;ITK;ICOS;ARHGAP15;ODF2L;JAML;ANKRD28",8,4,"Gamma_delta_T",FALSE,306,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","10","T_cell","","None","READY_HIGH_CONFIDENCE","High",1771,7,"FT-SA23515",0.708639186900057,0.31927849061582,FALSE,"CD3G;CD3D;CD2;LCK;CD3E;TRBC2;TRBC1","SIT1;CCR5;SAMSN1;PDCD1;TRGC2;ICOS;OASL;GRAP2;CXCR3;CXCR6;APOBEC3G;DHCR7;CLEC2D;LDLRAD4;FASLG;KLRB1;ASF1A;HOPX;ZNF683;GZMA",7,4,"NK_cell",FALSE,698,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","11","Secretory_epithelial","","None","READY_HIGH_CONFIDENCE","High",1493,9,"FT5414",0.697253851306095,0.355399184666735,FALSE,"OVGP1;WFDC2;SLPI;KRT18;EPCAM;KRT8;KRT19","SPDEF;OVGP1;SCGB3A1;CRISP3;WFDC2;TTYH1;CLDN10;SLPI;MGST1;RNASE1;SCGB1D2;ASRGL1;GMPR;MED24;WDR77;CD24;S100A16;PART1;CLU;DMKN",7,3,"Plasma_cell",FALSE,324,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","12","T_cell","","Activation","READY_HIGH_CONFIDENCE","High",1383,6,"FT-SA23508",0.595083152566884,0.403971021210656,FALSE,"IL7R;TRBC2;CD2;CD3E;CD3D;TRBC1","IL4I1;TNFRSF25;LTB;CHN1;CCR7;TIFA;TNFRSF18;CCR6;TRAF1;RORA;PHLDA1;FLT3LG;CD28;CD40LG;CCL20;TRAF4;AQP3;CCDC107;IL7R;PIM1",6,4,"Gamma_delta_T",FALSE,457,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","13","Monocyte","","None","READY_HIGH_CONFIDENCE","High",1161,11,"FT-SA23509",0.391903531438415,0.70708485461721,FALSE,"S100A8;S100A9;FCN1;LYZ;VCAN;CTSS","S100A12;S100A8;S100A9;SERPINB2;AC245128.3;FCN1;CD300E;EREG;FPR2;AQP9;APOBEC3A;TREM1;FPR1;SMIM25;IL1RN;IL1A;MCEMP1;LYZ;MIR3945HG;CSTA",6,4,"B_cell",FALSE,497,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","14","NK_cell","","None","READY_HIGH_CONFIDENCE","High",1134,6,"FT-SA23509",0.368606701940035,0.51029184648707,FALSE,"FGFBP2;KLRF1;NKG7;PRF1;GNLY;KLRD1;XCL2","S1PR5;FGFBP2;FCGR3A;KLRF1;HAVCR2;LMNB1;NKG7;PRF1;GZMB;GTF3C1;CD300A;KLRG1;ADGRG1;PLAC8;GNLY;HSH2D;S1PR4;CLIC3;CMC1;SPON2",7,3,"Gamma_delta_T",FALSE,521,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","15","Blood_endothelial","","Stress_response;Activation","READY_HIGH_CONFIDENCE","High",987,11,"FT03",0.450861195542047,0.731340542482117,FALSE,"VWF;EMCN;PLVAP;CLDN5;RAMP2;PECAM1","ACKR1;CCL14;VWF;ADGRL4;CXorf36;EMCN;PLVAP;AQP1;FLT1;CYYR1;CLEC14A;TSPAN7;NRN1;LIFR;RAMP3;TM4SF18;EGFL7;CLDN5;ECSCR;ESAM",6,3,"B_cell",FALSE,312,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","16","T_cell","","Stress_response;Activation","READY_HIGH_CONFIDENCE","High",944,6,"FT-SA23508",0.690677966101695,0.359887027821226,FALSE,"CD3E;LCK;TRBC2;CD3G;CD3D;IL7R;CD2;TRBC1","TNFSF9;DEDD2;TBC1D10C;DNAJB1;HSPA1A;DUSP1;HSPA1B;PTGER2;DUSP2;DCK;CITED2;GIMAP4;HSPH1;RASAL3;SEPT1;IFNG;CD69;PTGER4;TSC22D3;CD8B",8,4,"Gamma_delta_T",FALSE,271,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","17","Secretory_epithelial","","None","READY_HIGH_CONFIDENCE","High",803,12,"FT03",0.470734744707348,0.712795958253926,FALSE,"KRT7;MUC1;KRT8;KRT18;WFDC2;EPCAM;OVGP1;KRT19;SLPI","LYPD1;MMP7;KRT7;EDN1;MSLN;S100A1;TACSTD2;C19orf33;DAPL1;EHF;UGT2B7;KLF5;CLDN4;CLU;PARD6B;FGGY;ERP27;PART1;BCAM;CRISP3",9,3,"Transitional_epithelial",FALSE,330,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","18","Macrophage","","None","READY_HIGH_CONFIDENCE","High",661,12,"FT-SA23510",0.226928895612708,0.844829618842087,FALSE,"C1QC;C1QB;C1QA;CD68;APOE","C1QC;C1QB;C1QA;CLEC10A;MSR1;HLA-DQA1;CSF1R;FCER1A;APOC1;CSF2RA;HLA-DQB1;CYBB;HLA-DRA;MS4A7;HLA-DQA2;LY86;MS4A6A;IGSF6;HLA-DPA1;CD14",5,3,"Dendritic",FALSE,312,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","19","Mast","","None","READY_HIGH_CONFIDENCE","High",631,11,"FT-SA23510",0.256735340729002,0.888816945259321,FALSE,"TPSAB1;CPA3;TPSB2;MS4A2;HDC;KIT","TPSAB1;CPA3;TPSB2;MS4A2;GCSAML;SLC18A2;HPGDS;HDC;IL1RL1;AL157895.1;TMEM233;KIT;CALB2;RHEX;RGS13;PTAFR;VWA5A;GATA2;PTGS1;LIF",6,4,"Dendritic",FALSE,280,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
"GSE151214","normal_fallopian_tube_reference","2","T_cell","","None","READY_HIGH_CONFIDENCE","High",3939,10,"FT5414",0.388169586189388,0.500692917957966,FALSE,"CD3G;IL7R;CD3D;CD2","TGFB1;BRD9;AAK1;AC114760.2;LTB;AC058791.1;C1orf56;CDV3;PRMT9;CRYBG1;SOCS1;SCAND1;LINC00513;RCAN3;IKZF1;SMCHD1;CD3G;ARGLU1;KTN1;MIF",4,1,"Gamma_delta_T",FALSE,193,"Existing post-QC/doublet object; old cluster IDs group cells only and were not hardcoded to labels. Excluded from tumor TME, ligand-receptor meta-analysis, malignant-state inference and CNV analysis."
