cell_type_original,sample_id,n_cells,SPP1_program_mean,SPP1_average_expression,SPP1_positive_fraction
M01_Mast_KIT,OV-P20181225-T,2,-0.7765347690436074,0.0,0.0
M01_Mast_KIT,OV-P20190304-N,3,-0.5764661920538041,0.0,0.0
M01_Mast_KIT,OV-P20190304-T,2,-0.7720943714792794,0.0,0.0
M02_pDC_LILRA4,OV-P20181225-T,7,-1.0140564503142608,0.0,0.0
M02_pDC_LILRA4,OV-P20190304-N,4,-1.0771584998583241,0.0,0.0
M03_cDC1_CLEC9A,OV-P20181225-T,10,-1.1366560328025295,0.16298075,0.2
M03_cDC1_CLEC9A,OV-P20190304-N,4,-1.1462428681821948,0.0,0.0
M03_cDC1_CLEC9A,OV-P20190304-T,3,-1.0130052699435625,0.0,0.0
M04_cDC2_CD1C,OV-P20181225-T,121,-0.818844074459878,0.4827327394214876,0.2975206611570248
M04_cDC2_CD1C,OV-P20190304-N,11,-1.037576073126482,0.0,0.0
M04_cDC2_CD1C,OV-P20190304-T,10,-0.8142468226938767,1.06470383,0.6
M05_cDC3_LAMP3,OV-P20181225-T,13,-1.0809008528481456,0.35889436923076923,0.3076923076923077
M05_cDC3_LAMP3,OV-P20190304-N,2,-0.9634881064995326,0.0,0.0
M06_Mono_CD14,OV-P20181225-T,179,-0.6988663578459879,0.5823470148603351,0.18994413407821228
M06_Mono_CD14,OV-P20190304-N,34,-0.9102611115180387,0.05634185735294118,0.08823529411764706
M06_Mono_CD14,OV-P20190304-T,45,-0.75088486265735,0.9305634144444443,0.37777777777777777
M07_Mono_CD16,OV-P20181225-T,130,-0.8794677865124886,0.09481117615384614,0.05384615384615385
M07_Mono_CD16,OV-P20190304-N,18,-0.9506296039612957,0.03196047388888889,0.05555555555555555
M07_Mono_CD16,OV-P20190304-T,12,-0.42901894853044187,0.8612229750000001,0.3333333333333333
M08_Macro_SPP1,OV-P20181225-T,1244,0.27943512486408795,2.5009021487379424,0.819935691318328
M08_Macro_SPP1,OV-P20190304-N,55,-0.5895484903791861,0.5784394981818183,0.2
M08_Macro_SPP1,OV-P20190304-T,54,0.6280810926132934,3.823643651851852,0.9074074074074074
M09_Macro_C1QC,OV-P20181225-T,1664,0.02357124491938699,0.9587966394951923,0.3828125
M09_Macro_C1QC,OV-P20190304-N,70,-0.28166204319915267,1.3789295242857142,0.4
M09_Macro_C1QC,OV-P20190304-T,191,0.6683261269279385,3.69433840921466,0.9319371727748691
