p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,dataset_id,parent_cluster,subcluster
1.28559336157038e-10,0.738639779017457,0.963,0.686,4.45406676049675e-06,"0","CCL5","GSE147082","6","0"
3.14856670482611e-10,0.764420287733035,0.913,0.599,1.09085242055405e-05,"0","AC015849.1","GSE147082","6","0"
4.91036415461984e-10,1.54478808039256,0.477,0.203,1.70124476500959e-05,"0","CD8A","GSE147082","6","0"
2.64703849083407e-07,2.16702648907337,0.309,0.11,0.00917092955534373,"0","INPP4B","GSE147082","6","0"
1.43380696934183e-64,4.95330563242547,0.838,0.057,4.9675676259817e-60,"1","NUSAP1","GSE147082","6","1"
3.07482023880787e-63,5.97710728222622,0.737,0.022,1.06530221993738e-58,"1","TOP2A","GSE147082","6","1"
3.10748772942437e-59,4.18533413952453,0.889,0.113,1.07662019873637e-54,"1","STMN1","GSE147082","6","1"
1.37023076272704e-58,3.89929125628426,0.899,0.129,4.74730150054409e-54,"1","TUBB","GSE147082","6","1"
3.50665064472842e-57,4.3199497516992,0.788,0.057,1.21491418237261e-52,"1","MKI67","GSE147082","6","1"
2.52006496692226e-51,3.08773856088352,1,0.326,8.73101708439885e-47,"1","HMGB2","GSE147082","6","1"
2.94804621242044e-48,5.53298433257717,0.566,0.011,1.02138009075518e-43,"1","BIRC5","GSE147082","6","1"
4.87151708371196e-48,7.98677131712619,0.525,0.003,1.68778580882285e-43,"1","UBE2C","GSE147082","6","1"
3.20362766752216e-43,10.1897793170306,0.465,0,1.10992884168973e-38,"1","RRM2","GSE147082","6","1"
6.40349204451783e-42,4.89506590991408,0.515,0.013,2.21855385374365e-37,"1","ASPM","GSE147082","6","1"
5.19227491088534e-41,3.8359550952415,0.929,0.396,1.79891556562534e-36,"1","HIST1H4C","GSE147082","6","1"
4.0685534836808e-39,2.98624527709227,0.818,0.159,1.40959103995605e-34,"1","H2AFZ","GSE147082","6","1"
3.56810218905684e-37,5.07227335919078,0.455,0.011,1.23620468442063e-32,"1","PCLAF","GSE147082","6","1"
7.71269304648989e-37,2.89240171859777,0.657,0.075,2.67213963288689e-32,"1","CENPF","GSE147082","6","1"
3.5204188065175e-36,4.26366281062952,0.495,0.024,1.21968429970605e-31,"1","TPX2","GSE147082","6","1"
9.45579413477757e-36,3.02713340382819,0.747,0.143,3.27605443593504e-31,"1","DUT","GSE147082","6","1"
9.89874353830361e-36,5.62573356836409,0.434,0.011,3.42951868628067e-31,"1","DLGAP5","GSE147082","6","1"
2.68199248222304e-35,4.8321227096903,0.444,0.013,9.29203115390995e-31,"1","KNL1","GSE147082","6","1"
2.35573387600658e-34,1.93960700553386,0.97,0.531,8.16167558681241e-30,"1","HMGB1","GSE147082","6","1"
2.031714102451e-33,2.97016505138726,0.747,0.156,7.03907667935175e-29,"1","SMC4","GSE147082","6","1"
1.91691218170221e-31,4.11812594663053,0.384,0.008,6.64133394472546e-27,"1","AURKB","GSE147082","6","1"
2.64546406682177e-31,4.45049553424172,0.424,0.019,9.16547480591072e-27,"1","CEP55","GSE147082","6","1"
3.81182896068958e-31,3.52211523821498,0.495,0.04,1.32064626172051e-26,"1","NDC80","GSE147082","6","1"
4.77653839643626e-31,6.06058393451072,0.374,0.008,1.65487949282931e-26,"1","CCNA2","GSE147082","6","1"
1.6058310945225e-30,4.17671401007641,0.424,0.022,5.56356241008264e-26,"1","PRC1","GSE147082","6","1"
9.75857848661185e-30,4.02658302378175,0.434,0.027,3.38095710247154e-25,"1","SPDL1","GSE147082","6","1"
1.11036065543773e-29,3.5200166013858,0.515,0.057,3.84695552682957e-25,"1","SMC2","GSE147082","6","1"
1.60256721057262e-29,4.5303182500659,0.404,0.019,5.5522543577499e-25,"1","NUF2","GSE147082","6","1"
2.48742004465237e-29,6.44690062593518,0.333,0.003,8.61791548670261e-25,"1","KIF23","GSE147082","6","1"
4.41996335393098e-29,3.03126460964721,0.515,0.054,1.53134050360293e-24,"1","CENPU","GSE147082","6","1"
8.37047970667183e-29,2.93819590361894,0.576,0.084,2.90003639917352e-24,"1","EZH2","GSE147082","6","1"
6.43592228489797e-28,3.55672237677162,0.424,0.03,2.22978963482575e-23,"1","CLSPN","GSE147082","6","1"
6.57634587128295e-28,2.59163322071889,0.636,0.113,2.27844079056469e-23,"1","PTTG1","GSE147082","6","1"
1.07489652750498e-27,4.11892227503171,0.364,0.013,3.72408650919374e-23,"1","NCAPG","GSE147082","6","1"
2.4093237038671e-27,3.24164722167081,0.475,0.046,8.34734290441797e-23,"1","CENPE","GSE147082","6","1"
3.0026868403035e-27,5.96073475942862,0.323,0.005,1.04031088269155e-22,"1","CDK1","GSE147082","6","1"
5.01652589555573e-27,4.52475064626506,0.374,0.019,1.73802556177424e-22,"1","CDCA8","GSE147082","6","1"
1.29138121431928e-26,6.87078157005847,0.303,0.003,4.47411935513058e-22,"1","BUB1B","GSE147082","6","1"
1.42170618446913e-26,3.93626633148655,0.384,0.022,4.92564324671175e-22,"1","KIF15","GSE147082","6","1"
1.61020085458504e-26,3.9957253840872,0.374,0.019,5.57870188079533e-22,"1","HMMR","GSE147082","6","1"
3.97199854887971e-26,4.94753173469535,0.343,0.013,1.37613861724486e-21,"1","ESCO2","GSE147082","6","1"
4.0068502173134e-26,3.26351512004866,0.485,0.057,1.3882133262904e-21,"1","TACC3","GSE147082","6","1"
5.00571452745987e-26,5.04982143472894,0.333,0.011,1.73427985518375e-21,"1","GTSE1","GSE147082","6","1"
1.10870062821714e-25,2.2905787843416,0.828,0.34,3.84120419652111e-21,"1","HMGN2","GSE147082","6","1"
4.44106143454531e-25,3.15782039624164,0.465,0.054,1.53865014461257e-20,"1","TYMS","GSE147082","6","1"
7.76034609586861e-25,3.47560842849232,0.364,0.022,2.68864950837464e-20,"1","CDKN3","GSE147082","6","1"
5.6678353256364e-24,2.38096389112876,0.667,0.17,1.96367822691999e-19,"1","TMPO","GSE147082","6","1"
1.01499682189086e-23,3.76235530238876,0.343,0.019,3.51655798912309e-19,"1","KIF11","GSE147082","6","1"
2.1679764018521e-23,5.02607318158786,0.303,0.011,7.51117104185678e-19,"1","AURKA","GSE147082","6","1"
3.08585356689779e-23,4.68505708032649,0.293,0.008,1.06912482678741e-18,"1","KIF2C","GSE147082","6","1"
6.23198943519605e-23,6.80685295776954,0.263,0.003,2.15913505971802e-18,"1","HJURP","GSE147082","6","1"
9.10758926338795e-23,2.54663199019407,0.525,0.092,3.15541537619339e-18,"1","PCNA","GSE147082","6","1"
1.977861362269e-22,4.90169503223187,0.283,0.008,6.85249847571719e-18,"1","SGO2","GSE147082","6","1"
2.43853659870873e-22,4.69894924742609,0.283,0.008,8.44855389988626e-18,"1","CCNB2","GSE147082","6","1"
5.0336237184442e-22,6.90927259758259,0.253,0.003,1.74394927349218e-17,"1","SHCBP1","GSE147082","6","1"
