dataset_id,cluster,final_cell_type,cell_subtype,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,dominant_sample,dominant_sample_fraction,sample_entropy,patient_enriched,canonical_markers,top20_markers,canonical_support_n,high_specific_support_n,second_candidate,incompatible_lineage_program,n_significant_markers,notes
"GSE147082",0,"Fibroblast",NA,"None","READY_HIGH_CONFIDENCE","High",774,6,"PT-4806",0.403100775193798,0.815994518258897,FALSE,"FAP;COL1A1;CTHRC1;COL1A2;LUM;POSTN;C7;COL3A1;DCN;COL6A1;PDGFRA;COL6A2","MMP11;COL10A1;SFRP4;EPDR1;C1QTNF3;CNTN1;NTM;COMP;KCND2;OMD;INHBA.AS1;VCAN.AS1;INHBA;ITGA11;SFRP2;VCAN;FAP;SULF1;NUAK1;THBS2",12,4,NA,FALSE,648,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",1,"Epithelial",NA,"None","REVIEW_PATIENT_ENRICHED","Review",608,4,"PT-3401",0.988486842105263,0.0412150935637913,TRUE,"MUC16;MUC1;WFDC2;EPCAM;KRT19;CLDN4;PAX8;CLDN3;KRT7;KRT8;KRT18","AL713998.1;MIR205HG;LINC01608;LINC01446;LINC02484;LINC02055;AC008991.1;AL035401.1;LINC01933;AP003306.1;LINC01532;GS1.24F4.2;AL117329.1;PKHD1L1;GABRG3;AL357507.1;LINC01322;AP003064.1;LINC00621;LINC01798",11,4,NA,FALSE,1162,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",10,"B_cell",NA,"None","READY_HIGH_CONFIDENCE","High",352,6,"PT-3401",0.75,0.412381654003207,FALSE,"MS4A1;CD19;BANK1;CD79A;CD22;CD79B;CD37;CD74","FCRL1;IGHD;VPREB3;MS4A1;LINC00926;TCL1A;CD19;TNFRSF13C;PAX5;BANK1;AP002075.1;COL19A1;CD79A;CNR2;CD22;FAM129C;BLK;CD79B;RUBCNL;FCRL5",8,4,NA,FALSE,331,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",11,"Epithelial",NA,"None","READY_HIGH_CONFIDENCE","High",329,6,"PT-6885",0.586626139817629,0.548163247145465,FALSE,"KRT7;KRT19;KRT18;KRT8;CLDN4;PAX8;WFDC2;MUC1;EPCAM;MSLN;MUC16;CLDN3","CLDN16;TSPAN1;KRT17;KLK10;AC011483.2;ERBB4;AC011483.3;ITPKC;LAMC2;S100A2;LAMA3;KRT7;MAL;KLK7;AP000812.1;EPS8L1;CP;KRT19;PARD6B;TACSTD2",12,4,NA,FALSE,398,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",12,"Fibroblast",NA,"None","REVIEW_PATIENT_ENRICHED","Review",280,5,"PT-3401",0.807142857142857,0.359245205295388,TRUE,"PDGFRA;DCN;COL1A1;COL1A2;COL3A1;FAP;COL6A2;LUM;COL6A1","PRG4;CXCL6;DPYS;CADM3;CLDN1;PIEZO2;CCBE1;EGFL6;CXCL1;TDO2;CXCL12;FLRT2;CA12;DSC3;CALB2;OSR1;EFEMP1;DPP4;C3;RGS4",9,4,"Epithelial",FALSE,732,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",13,"Fibroblast",NA,"Hypoxia","READY_HIGH_CONFIDENCE","High",227,6,"PT-6885",0.651982378854626,0.607462305260781,FALSE,"C7;LUM;PDGFRA;DCN;COL6A2;COL1A2;COL6A1;COL3A1;COL1A1;FAP;POSTN;CTHRC1","MEDAG;TEX26.AS1;CFD;CHRDL1;HAS1;ANGPTL4;GFPT2;HAS2;DPT;MT2P1;AC015712.2;EFEMP1;C7;ADH1B;F3;MMP19;LMCD1;ALDH1A3;ANK2;FGF7",12,4,"Monocyte",FALSE,644,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",14,"Plasma_cell",NA,"None","READY_HIGH_CONFIDENCE","High",201,6,"PT-5150",0.402985074626866,0.753167059181033,FALSE,"IGHG1;IGHA1;JCHAIN;MZB1;DERL3;XBP1;SSR4;FKBP11;SDC1;PRDX4","IGHV3.23;IGHG3;IGHG1;IGHG4;IGHG2;IGHGP;IGLL5;IGKC;IGHA1;IGLV3.1;IGHJ4;JCHAIN;IGLC2;IGLC3;AC244205.1;ENAM;MZB1;ANKRD36BP2;IGKJ5;IGHM",10,4,NA,FALSE,233,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",15,"Endothelial",NA,"None","READY_HIGH_CONFIDENCE","High",144,6,"PT-5150",0.319444444444444,0.850031059819679,FALSE,"ACKR1;CLDN5;EMCN;VWF;PLVAP;RAMP3;ESAM;KDR;RAMP2;PECAM1;ENG;RGCC","AC244100.2;ACKR1;ADGRL4;CLDN5;TM4SF18;AC093001.1;CXorf36;AP003501.1;CLEC14A;ROBO4;CDH5;EMCN;SELP;VWF;PLVAP;PTPRB;SLCO2A1;RAMP3;FLT1;MYCT1",12,5,NA,FALSE,447,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",16,"Pericyte",NA,"None","READY_HIGH_CONFIDENCE","High",135,6,"PT-3401",0.311111111111111,0.8439799293559,FALSE,"RGS5;MCAM;KCNJ8;NOTCH3;MYH11;ACTA2;PDGFRB;ABCC9","AVPR1A;FAM162B;HIGD1B;RGS5;AL499616.1;TRPC6;GJA4;MCAM;GJC1;KCNJ8;CARMN;AC010185.1;SEPT4;CCDC102B;NOTCH3;MYH11;PARM1;TBX2;NDE1;COL4A1",8,3,NA,FALSE,359,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
"GSE147082",17,"pDC",NA,"None","READY_HIGH_CONFIDENCE","High",45,5,"PT-3401",0.688888888888889,0.501481788078331,FALSE,"LILRA4;CLEC4C;GZMB;TCF4;SERPINF1","LILRA4;LINC01478;SHD;CLEC4C;DNASE1L3;GLT1D1;LINC01226;SMPD3;NME8;PLD4;ZFAT;COL26A1;GZMB;AL136018.1;P2RY6;SPIB;SLC7A11.AS1;IRF8;PLAC8;MPEG1",5,3,"Plasma_cell",FALSE,290,"New clustering from repaired mitochondrial-QC cells; old cluster IDs were not used for annotation."
