dataset_id,dataset_role,patient_id,sample_id,n_macrophages,SPP1_average_expression,SPP1_positive_fraction,SPP1_high_macrophage_fraction,SPP1_program_median_percentile,SPP1_presence,SPP1_relative_enrichment,evaluable
"GSE147082","tumor_sensitivity_validation","PT-3232","PT-3232",100,2.88416607716349,0.63,0.52,0.782352941176471,"PRESENT","RELATIVELY_ENRICHED",TRUE
"GSE147082","tumor_sensitivity_validation","PT-5150","PT-5150",101,1.68383494496626,0.455445544554456,0.217821782178218,0.526050420168067,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE147082","tumor_sensitivity_validation","PT-6885","PT-6885",159,1.52230625775664,0.459119496855346,0.182389937106918,0.415126050420168,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE147082","tumor_sensitivity_validation","PT-4806","PT-4806",8,0.762568342558552,0.25,0.125,0.245378151260504,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE147082","tumor_sensitivity_validation","PT-3401","PT-3401",214,0.371404874395455,0.121495327102804,0.200934579439252,0.46890756302521,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE147082","tumor_sensitivity_validation","PT-2834","PT-2834",13,1.98252325978167,0.538461538461538,0.153846153846154,0.613445378151261,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE151214","normal_fallopian_tube_reference","FT01","FT01",46,1.13948101392801,0.41304347826087,0.456521739130435,0.736904761904762,"PRESENT","RELATIVELY_ENRICHED",TRUE
"GSE151214","normal_fallopian_tube_reference","FT5414","FT5414",136,0.0886885000541438,0.0367647058823529,0.0514705882352941,0.179761904761905,"ABSENT_OR_LOW","NOT_RELATIVELY_ENRICHED",TRUE
"GSE151214","normal_fallopian_tube_reference","FT03","FT03",122,0.815720363906129,0.270491803278689,0.254098360655738,0.446428571428571,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE151214","normal_fallopian_tube_reference","FT-SA23505","FT-SA23505",2,0,0,0,0.179761904761905,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE151214","normal_fallopian_tube_reference","FT-SA23510","FT-SA23510",61,0.323398250334545,0.114754098360656,0.39344262295082,0.688095238095238,"PRESENT","RELATIVELY_ENRICHED",TRUE
"GSE151214","normal_fallopian_tube_reference","FT-SA23515","FT-SA23515",22,1.10573417957164,0.318181818181818,0.636363636363636,0.830952380952381,"PRESENT","RELATIVELY_ENRICHED",TRUE
"GSE151214","normal_fallopian_tube_reference","FT-SA23513","FT-SA23513",7,0,0,0,0.179761904761905,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE151214","normal_fallopian_tube_reference","FT-SA23514","FT-SA23514",15,0.910865610863743,0.266666666666667,0.466666666666667,0.747619047619048,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE151214","normal_fallopian_tube_reference","FT-SA23509","FT-SA23509",6,0.934521875307921,0.333333333333333,0.333333333333333,0.642857142857143,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE151214","normal_fallopian_tube_reference","FT-SA24027","FT-SA24027",3,0,0,0,0.65952380952381,"NOT_EVALUABLE_FOR_REPLICATION","NOT_EVALUABLE",FALSE
"GSE154600","primary_tumor_ecosystem","T59","T59",2626,3.81153246823181,0.946686976389947,0.300837776085301,0.561224489795919,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE154600","primary_tumor_ecosystem","T76","T76",1172,2.98625318890719,0.842150170648464,0.132252559726962,0.399248120300752,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE154600","primary_tumor_ecosystem","T77","T77",338,1.17212783025878,0.408284023668639,0.192307692307692,0.407411385606874,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
"GSE154600","primary_tumor_ecosystem","T89","T89",424,2.11227518359784,0.599056603773585,0.287735849056604,0.507626208378088,"PRESENT","NOT_RELATIVELY_ENRICHED",TRUE
