dataset_id,dataset_role,state,n_evaluable_patients,n_present_patients,present_patients,reproducibility_status
"GSE147082","tumor_sensitivity_validation","SPP1",4,4,"PT-3232;PT-5150;PT-6885;PT-3401","REPLICATED"
"GSE151214","normal_fallopian_tube_reference","SPP1",5,4,"FT01;FT03;FT-SA23510;FT-SA23515","REPLICATED"
"GSE154600","primary_tumor_ecosystem","SPP1",5,5,"T59;T76;T77;T89;T90","REPLICATED"
"GSE158722","malignant_fluid_tumor_ecosystem","SPP1",2,1,"P07","SUPPORTIVE_SINGLE_PATIENT"
"GSE154763","author_annotated_myeloid_reference","SPP1",2,2,"P20181225;P20190304","REPLICATED"
"GSE147082","tumor_sensitivity_validation","C1QC",4,3,"PT-3232;PT-5150;PT-3401","REPLICATED"
"GSE151214","normal_fallopian_tube_reference","C1QC",5,4,"FT01;FT5414;FT03;FT-SA23510","REPLICATED"
"GSE154600","primary_tumor_ecosystem","C1QC",5,4,"T59;T77;T89;T90","REPLICATED"
"GSE158722","malignant_fluid_tumor_ecosystem","C1QC",2,1,"P07","SUPPORTIVE_SINGLE_PATIENT"
"GSE154763","author_annotated_myeloid_reference","C1QC",2,1,"P20181225","SUPPORTIVE_SINGLE_PATIENT"
"GSE147082","tumor_sensitivity_validation","FOLR2",4,4,"PT-3232;PT-5150;PT-6885;PT-3401","REPLICATED"
"GSE151214","normal_fallopian_tube_reference","FOLR2",5,4,"FT01;FT5414;FT03;FT-SA23510","REPLICATED"
"GSE154600","primary_tumor_ecosystem","FOLR2",5,5,"T59;T76;T77;T89;T90","REPLICATED"
"GSE158722","malignant_fluid_tumor_ecosystem","FOLR2",2,1,"P07","SUPPORTIVE_SINGLE_PATIENT"
"GSE154763","author_annotated_myeloid_reference","FOLR2",2,2,"P20181225;P20190304","REPLICATED"
