dataset_id,patient_id,final_cell_type,n_final_eligible_reference,n_available_in_any_lineage_input,n_missing_from_all_inputs,coverage_fraction,n_multiple_source_matches
"GSE154600","T59","Macrophage",1354,1332,22,0.983751846381093,0
"GSE154600","T59","T_cell",1216,920,296,0.756578947368421,0
"GSE154600","T59","B_cell",243,235,8,0.967078189300411,0
"GSE154600","T59","Monocyte",193,191,2,0.989637305699482,0
"GSE154600","T59","NK_cell",19,17,2,0.894736842105263,0
"GSE154600","T59","pDC",10,10,0,1,0
"GSE154600","T76","T_cell",1379,494,885,0.358230601885424,0
"GSE154600","T76","Macrophage",1187,1163,24,0.979780960404381,0
"GSE154600","T76","Monocyte",254,254,0,1,0
"GSE154600","T76","NK_cell",282,205,77,0.726950354609929,0
"GSE154600","T76","B_cell",66,50,16,0.757575757575758,0
"GSE154600","T76","cDC2",43,43,0,1,0
"GSE154600","T77","B_cell",75,75,0,1,0
"GSE154600","T77","T_cell",1248,1133,115,0.907852564102564,0
"GSE154600","T77","Macrophage",317,310,7,0.977917981072555,0
"GSE154600","T77","NK_cell",25,24,1,0.96,0
"GSE154600","T77","Monocyte",40,40,0,1,0
"GSE154600","T77","cDC2",5,5,0,1,0
"GSE154600","T89","T_cell",1732,1621,111,0.935912240184757,0
"GSE154600","T89","B_cell",214,214,0,1,0
"GSE154600","T89","Monocyte",110,109,1,0.990909090909091,0
"GSE154600","T89","NK_cell",135,134,1,0.992592592592593,0
"GSE154600","T89","Macrophage",386,383,3,0.992227979274611,0
"GSE154600","T89","cDC2",19,19,0,1,0
"GSE154600","T89","pDC",7,7,0,1,0
"GSE154600","T90","T_cell",1623,1566,57,0.964879852125693,0
"GSE154600","T90","B_cell",150,150,0,1,0
"GSE154600","T90","NK_cell",78,76,2,0.974358974358974,0
"GSE154600","T90","Macrophage",78,77,1,0.987179487179487,0
"GSE154600","T90","Monocyte",41,40,1,0.975609756097561,0
"GSE154600","T90","cDC2",7,7,0,1,0
