dataset_id,patient_id,receiver_tier,n_final_epithelial,n_cells_without_counts,n_receiver_cells,CD44_average_expression,CD44_positive_fraction,ITGB1_average_expression,ITGB1_positive_fraction,CD44_ITGB1_copositive_fraction,ITGA4_positive_fraction,ITGA5_positive_fraction,ITGAV_positive_fraction,ITGA8_positive_fraction,ITGA9_positive_fraction,ITGB1_any_alpha_copositive_fraction,dominant_alpha_partner,CD44_receiver_support,ITGB1_receiver_support,ITGB1_alpha_partner_support,dual_CD44_ITGB1_support,interpretation_note
"GSE154600","T59","all_final_epithelial",1513,91,1422,0.264765837432502,0.159634317862166,0.676438810139066,0.379043600562588,0.0843881856540084,0.00984528832630098,0.0260196905766526,0.0618846694796062,0,0.00140646976090014,0.0569620253164557,"ITGAV","SUPPORTED","SUPPORTED","DETECTED_LOW","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T59","stable_malignant_supportive",1513,91,843,0.276560673962494,0.162514827995255,0.64933767827384,0.36061684460261,0.0830367734282325,0.00711743772241993,0.0237247924080664,0.0676156583629893,0,0.00118623962040332,0.0581257413997628,"ITGAV","SUPPORTED","SUPPORTED","DETECTED_LOW","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T59","stable_diploid_like",1513,91,1,0,0,0,0,0,0,0,0,0,0,0,"ITGA4","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T59","unstable_or_not_defined",1513,91,578,0.2480214060184,0.155709342560554,0.717135510783572,0.406574394463668,0.0865051903114187,0.013840830449827,0.0294117647058824,0.0536332179930796,0,0.00173010380622837,0.055363321799308,"ITGAV","SUPPORTED","SUPPORTED","DETECTED_LOW","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T76","all_final_epithelial",125,88,37,0.0513479307861043,0.027027027027027,0.213029226941091,0.162162162162162,0.027027027027027,0,0,0.0540540540540541,0,0,0,"ITGAV","DETECTED_LOW","SUPPORTED","NOT_DETECTED","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T76","stable_malignant_supportive",125,88,17,0.111757261122698,0.0588235294117647,0.336902086592729,0.235294117647059,0.0588235294117647,0,0,0.117647058823529,0,0,0,"ITGAV","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T76","stable_diploid_like",125,88,1,0,0,0,0,0,0,0,0,0,0,0,"ITGA4","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T76","unstable_or_not_defined",125,88,19,0,0,0.113407680249682,0.105263157894737,0,0,0,0,0,0,0,"ITGA4","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","NOT_EVALUABLE","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T77","all_final_epithelial",1175,152,1023,0.0704200879185347,0.0459433040078201,0.24048839910583,0.161290322580645,0.00879765395894428,0.00195503421309873,0.00586510263929619,0.0244379276637341,0,0.000977517106549365,0.00782013685239492,"ITGAV","DETECTED_LOW","SUPPORTED","DETECTED_LOW","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
"GSE154600","T77","stable_malignant_supportive",1175,152,535,0.0666313933495676,0.0429906542056075,0.191481631252439,0.134579439252336,0.00560747663551402,0.00373831775700935,0.00560747663551402,0.0280373831775701,0,0,0.00934579439252336,"ITGAV","DETECTED_LOW","SUPPORTED","DETECTED_LOW","DETECTED_LOW","Stable CopyKAT aneuploid is single-method supportive evidence; ITGB1 alone is not a complete receptor"
