dataset_id,patient_id,split_seed,n_epithelial,n_baseline,n_calibration,n_test,n_baseline_T_NK,n_baseline_B,n_baseline_Myeloid,baseline_threshold,calibration_control_p99,global_threshold,n_test_false_positive,test_control_false_positive_rate,run_status,error
"GSE154600","T59",20260725,1513,1820,606,609,741,145,934,0.0142426404810681,0.0150175846336089,0.0150175846336089,6,0.00985221674876847,"COMPLETED",NA
"GSE154600","T59",20260726,1513,1820,606,609,741,145,934,0.0142577878326307,0.0151509724686929,0.0151509724686929,5,0.00821018062397373,"COMPLETED",NA
"GSE154600","T59",20260727,1513,1820,606,609,741,145,934,0.0142248832730474,0.0153717192815492,0.0153717192815492,3,0.00492610837438424,"COMPLETED",NA
"GSE154600","T76",20260725,125,1925,641,645,996,39,890,0.0130244363839355,0.014176483385686,0.014176483385686,4,0.0062015503875969,"COMPLETED",NA
"GSE154600","T76",20260726,125,1925,641,645,996,39,890,0.012959023754726,0.0139106780428012,0.0139106780428012,8,0.0124031007751938,"COMPLETED",NA
"GSE154600","T76",20260727,125,1925,641,645,996,39,890,0.0128850579736391,0.0139964209895592,0.0139964209895592,4,0.0062015503875969,"COMPLETED",NA
"GSE154600","T77",20260725,1175,1025,341,344,763,45,217,0.013247090659512,0.0143442715609901,0.0143442715609901,4,0.0116279069767442,"COMPLETED",NA
"GSE154600","T77",20260726,1175,1025,341,344,763,45,217,0.013108125527319,0.014560122183247,0.014560122183247,2,0.00581395348837209,"COMPLETED",NA
"GSE154600","T77",20260727,1175,1025,341,344,763,45,217,0.0132125445482651,0.0138965695090033,0.0138965695090033,5,0.0145348837209302,"COMPLETED",NA
"GSE154600","T89",20260725,181,1561,519,523,1120,128,313,0.0134196681773009,0.0156783721804305,0.0156783721804305,3,0.00573613766730402,"COMPLETED",NA
"GSE154600","T89",20260726,181,1561,519,523,1120,128,313,0.0134489342021866,0.0148784039259176,0.0148784039259176,8,0.0152963671128107,"COMPLETED",NA
"GSE154600","T89",20260727,181,1561,519,523,1120,128,313,0.0134526016596993,0.0155564438846095,0.0155564438846095,4,0.00764818355640535,"COMPLETED",NA
"GSE154600","T90",20260725,975,1185,395,397,1020,90,75,0.0140825533676944,0.0154318780039361,0.0154318780039361,2,0.00503778337531486,"COMPLETED",NA
"GSE154600","T90",20260726,975,1185,395,397,1020,90,75,0.0141629363034351,0.0166099401399464,0.0166099401399464,2,0.00503778337531486,"COMPLETED",NA
"GSE154600","T90",20260727,975,1185,395,397,1020,90,75,0.0140234313354503,0.0156876429530202,0.0156876429530202,4,0.0100755667506297,"COMPLETED",NA
