patient_id,receiver_metric,depth_tertile,n_cells,descriptive_detection_fraction,descriptive_detection_fraction_overall,primary_n_cells,depth_robustness
"T59","CD44","low",141,0.184397163120567,0.245283018867925,424,"DEPTH_ROBUST"
"T59","CD44","middle",141,0.269503546099291,0.245283018867925,424,"DEPTH_ROBUST"
"T59","CD44","high",142,0.28169014084507,0.245283018867925,424,"DEPTH_ROBUST"
"T59","CD44_ITGB1_dual","low",141,0.0780141843971631,0.160377358490566,424,"DEPTH_ROBUST"
"T59","CD44_ITGB1_dual","middle",141,0.177304964539007,0.160377358490566,424,"DEPTH_ROBUST"
"T59","CD44_ITGB1_dual","high",142,0.225352112676056,0.160377358490566,424,"DEPTH_ROBUST"
"T59","ITGB1","low",141,0.439716312056738,0.615566037735849,424,"DEPTH_ROBUST"
"T59","ITGB1","middle",141,0.673758865248227,0.615566037735849,424,"DEPTH_ROBUST"
"T59","ITGB1","high",142,0.732394366197183,0.615566037735849,424,"DEPTH_ROBUST"
"T59","ITGB1_any_alpha","low",141,0.0425531914893617,0.106132075471698,424,"DEPTH_INCONCLUSIVE"
"T59","ITGB1_any_alpha","middle",141,0.0851063829787234,0.106132075471698,424,"DEPTH_INCONCLUSIVE"
"T59","ITGB1_any_alpha","high",142,0.190140845070423,0.106132075471698,424,"DEPTH_INCONCLUSIVE"
"T76","CD44","low",9,0,0.214285714285714,28,"DEPTH_ROBUST"
"T76","CD44","middle",9,0.222222222222222,0.214285714285714,28,"DEPTH_ROBUST"
"T76","CD44","high",10,0.4,0.214285714285714,28,"DEPTH_ROBUST"
"T76","CD44_ITGB1_dual","low",9,0,0.178571428571429,28,"DEPTH_ROBUST"
"T76","CD44_ITGB1_dual","middle",9,0.111111111111111,0.178571428571429,28,"DEPTH_ROBUST"
"T76","CD44_ITGB1_dual","high",10,0.4,0.178571428571429,28,"DEPTH_ROBUST"
"T76","ITGB1","low",9,0.444444444444444,0.535714285714286,28,"DEPTH_ROBUST"
"T76","ITGB1","middle",9,0.333333333333333,0.535714285714286,28,"DEPTH_ROBUST"
"T76","ITGB1","high",10,0.8,0.535714285714286,28,"DEPTH_ROBUST"
"T76","ITGB1_any_alpha","low",9,0,0.0357142857142857,28,"DEPTH_INCONCLUSIVE"
"T76","ITGB1_any_alpha","middle",9,0.111111111111111,0.0357142857142857,28,"DEPTH_INCONCLUSIVE"
"T76","ITGB1_any_alpha","high",10,0,0.0357142857142857,28,"DEPTH_INCONCLUSIVE"
"T77","CD44","low",23,0.0434782608695652,0.0422535211267606,71,"DEPTH_ROBUST"
"T77","CD44","middle",24,0.0416666666666667,0.0422535211267606,71,"DEPTH_ROBUST"
"T77","CD44","high",24,0.0416666666666667,0.0422535211267606,71,"DEPTH_ROBUST"
"T77","CD44_ITGB1_dual","low",23,0,0.0140845070422535,71,"DEPTH_INCONCLUSIVE"
"T77","CD44_ITGB1_dual","middle",24,0.0416666666666667,0.0140845070422535,71,"DEPTH_INCONCLUSIVE"
"T77","CD44_ITGB1_dual","high",24,0,0.0140845070422535,71,"DEPTH_INCONCLUSIVE"
"T77","ITGB1","low",23,0.0869565217391304,0.23943661971831,71,"DEPTH_ROBUST"
"T77","ITGB1","middle",24,0.333333333333333,0.23943661971831,71,"DEPTH_ROBUST"
"T77","ITGB1","high",24,0.291666666666667,0.23943661971831,71,"DEPTH_ROBUST"
"T77","ITGB1_any_alpha","low",23,0,0.028169014084507,71,"DEPTH_ROBUST"
"T77","ITGB1_any_alpha","middle",24,0.0416666666666667,0.028169014084507,71,"DEPTH_ROBUST"
"T77","ITGB1_any_alpha","high",24,0.0416666666666667,0.028169014084507,71,"DEPTH_ROBUST"
