patient_id,evidence_tier,gene,n_cells,raw_pseudobulk_count,library_size,cpm,log2_cpm_plus1,descriptive_detection_fraction
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","CD44",424,127,658,193009.118541033,17.5583169570924,0.245283018867925
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGB1",424,459,658,697568.389057751,19.4119772071785,0.615566037735849
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA4",424,9,658,13677.811550152,13.7396552702131,0.0212264150943396
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA5",424,15,658,22796.3525835866,14.4765786760319,0.035377358490566
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGAV",424,47,658,71428.5714285714,16.1242338448558,0.10377358490566
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA8",424,0,658,0,0,0
"T59","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA9",424,1,658,1519.75683890578,10.5705737767453,0.00235849056603774
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","CD44",28,6,30,2e+05,17.609647687894,0.214285714285714
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGB1",28,21,30,7e+05,19.4169974574859,0.535714285714286
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA4",28,1,30,33333.3333333333,15.0247212539177,0.0357142857142857
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA5",28,2,30,66666.6666666667,16.024699613979,0.0714285714285714
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGAV",28,0,30,0,0,0
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA8",28,0,30,0,0,0
"T76","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA9",28,0,30,0,0,0
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","CD44",71,4,33,121212.121212121,16.8871863521507,0.0422535211267606
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGB1",71,22,33,666666.666666667,19.346608232644,0.23943661971831
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA4",71,0,33,0,0,0
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA5",71,0,33,0,0,0
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGAV",71,7,33,212121.212121212,17.6945361732839,0.0845070422535211
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA8",71,0,33,0,0,0
"T77","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA9",71,0,33,0,0,0
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","CD44",20,4,9,444444.444444444,18.7616468139421,0.2
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGB1",20,5,9,555555.555555556,19.083574259618,0.2
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA4",20,0,9,0,0,0
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA5",20,0,9,0,0,0
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGAV",20,0,9,0,0,0
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA8",20,0,9,0,0,0
"T89","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA9",20,0,9,0,0,0
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","CD44",113,4,23,173913.043478261,17.4080149087398,0.0353982300884956
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGB1",113,18,23,782608.695652174,19.577933458152,0.15929203539823
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA4",113,0,23,0,0,0
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA5",113,0,23,0,0,0
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGAV",113,1,23,43478.2608695652,15.4080397948715,0.00884955752212389
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA8",113,0,23,0,0,0
"T90","CALIBRATED_DUAL_METHOD_SUPPORT","ITGA9",113,0,23,0,0,0
"T59","COPYKAT_STABLE_ANEUPLOID_SENSITIVITY","CD44",870,225,1083,207756.232686981,17.6645391770883,0.210344827586207
