dataset_id,sample_id,spatial_test,adjacency_order,n_spots,n_sender,n_receiver,observed_adjacency,expected_adjacency,observed_expected_ratio,empirical_p,median_nearest_distance
"GSE203612","GSM6177614","SPP1_macrophage_to_ITGB1_receiver","first_order",1760,245,260,0.0972789115646258,0.150571428571429,0.646064877563929,1,347.311099736245
"GSE203612","GSM6177614","SPP1_macrophage_to_ITGB1_receiver","second_order",1760,245,260,0.117913832199546,0.153384807256236,0.768745186102861,1,347.311099736245
"GSE203612","GSM6177614","SPP1_macrophage_to_CD44_receiver","first_order",1760,245,75,0.0374149659863946,0.043834693877551,0.853546875242485,0.892107892107892,530.292372187268
"GSE203612","GSM6177614","SPP1_macrophage_to_CD44_receiver","second_order",1760,245,75,0.0444444444444444,0.0436918367346939,1.01722536212704,0.422577422577423,530.292372187268
"GSE203612","GSM6177614","C1QC_macrophage_to_ITGB1_receiver","first_order",1760,381,260,0.0756780402449694,0.150369203849519,0.503281511822752,1,400.001249998047
"GSE203612","GSM6177614","C1QC_macrophage_to_ITGB1_receiver","second_order",1760,381,260,0.104549431321085,0.15284412365121,0.684026502449426,1,400.001249998047
"GSE203612","GSM6177614","all_macrophage_to_epithelial","first_order",1760,441,441,0.157974300831444,0.253802721088435,0.622429500180177,1,346.447687248739
"GSE203612","GSM6177614","all_macrophage_to_epithelial","second_order",1760,441,441,0.182665658856135,0.255102040816327,0.716049382716049,1,346.447687248739
"GSE203612","GSM6177617","SPP1_macrophage_to_ITGB1_receiver","first_order",1204,88,119,0.147727272727273,0.101645833333333,1.4533529598092,0.010989010989011,531.16048900987
"GSE203612","GSM6177617","SPP1_macrophage_to_ITGB1_receiver","second_order",1204,88,119,0.121212121212121,0.104261994949495,1.16257243371218,0.134865134865135,531.16048900987
"GSE203612","GSM6177617","SPP1_macrophage_to_CD44_receiver","first_order",1204,88,99,0.121212121212121,0.0859810606060606,1.40975373364465,0.024975024975025,531.471057250569
"GSE203612","GSM6177617","SPP1_macrophage_to_CD44_receiver","second_order",1204,88,99,0.102272727272727,0.084782196969697,1.20629956439182,0.0819180819180819,531.471057250569
"GSE203612","GSM6177617","C1QC_macrophage_to_ITGB1_receiver","first_order",1204,139,119,0.170263788968825,0.102549160671463,1.66031382269719,0.000999000999000999,347.816043333254
"GSE203612","GSM6177617","C1QC_macrophage_to_ITGB1_receiver","second_order",1204,139,119,0.14828137490008,0.10337170263789,1.43444841398723,0.000999000999000999,347.816043333254
"GSE203612","GSM6177617","all_macrophage_to_epithelial","first_order",1204,240,302,0.291666666666667,0.259101388888889,1.12568546204028,0.018981018981019,201.002487546796
"GSE203612","GSM6177617","all_macrophage_to_epithelial","second_order",1204,240,302,0.276851851851852,0.256949768518519,1.07745515183019,0.047952047952048,201.002487546796
"GSE211956","GSM6506110","SPP1_macrophage_to_ITGB1_receiver","first_order",2940,283,357,0.167844522968198,0.121852767962309,1.37743709703924,0.000999000999000999,130.003846096952
"GSE211956","GSM6506110","SPP1_macrophage_to_ITGB1_receiver","second_order",2940,283,357,0.175696898311739,0.122658029053789,1.43241253481003,0.000999000999000999,130.003846096952
"GSE211956","GSM6506110","SPP1_macrophage_to_CD44_receiver","first_order",2940,283,95,0.0547703180212014,0.0324281507656066,1.6889744474511,0.000999000999000999,259.73062969161
"GSE211956","GSM6506110","SPP1_macrophage_to_CD44_receiver","second_order",2940,283,95,0.055359246171967,0.0322616804083235,1.71594428657487,0.000999000999000999,259.73062969161
"GSE211956","GSM6506110","C1QC_macrophage_to_ITGB1_receiver","first_order",2940,594,357,0.124579124579125,0.122329124579125,1.01839300336483,0.382617382617383,224.510578815342
"GSE211956","GSM6506110","C1QC_macrophage_to_ITGB1_receiver","second_order",2940,594,357,0.133557800224467,0.122231575009353,1.09266202463846,0.015984015984016,224.510578815342
"GSE211956","GSM6506110","all_macrophage_to_epithelial","first_order",2940,736,736,0.241394927536232,0.250582880434783,0.963333676735582,0.882117882117882,129.495173655237
"GSE211956","GSM6506110","all_macrophage_to_epithelial","second_order",2940,736,736,0.251207729468599,0.251485809178744,0.998894252876323,0.520479520479521,129.495173655237
"GSE211956","GSM6506111","SPP1_macrophage_to_ITGB1_receiver","first_order",1935,286,314,0.0804195804195804,0.162875874125874,0.493747652015242,1,343.75718174316
"GSE211956","GSM6506111","SPP1_macrophage_to_ITGB1_receiver","second_order",1935,286,314,0.0742035742035742,0.16208547008547,0.457805219458879,1,343.75718174316
"GSE211956","GSM6506111","SPP1_macrophage_to_CD44_receiver","first_order",1935,286,262,0.0623543123543124,0.136192307692308,0.457840192378458,1,344.398025546024
"GSE211956","GSM6506111","SPP1_macrophage_to_CD44_receiver","second_order",1935,286,262,0.0594405594405594,0.135890248640249,0.437415929658944,1,344.398025546024
"GSE211956","GSM6506111","C1QC_macrophage_to_ITGB1_receiver","first_order",1935,373,314,0.0907059874888293,0.162918677390527,0.556756223053547,1,260.001923069811
"GSE211956","GSM6506111","C1QC_macrophage_to_ITGB1_receiver","second_order",1935,373,314,0.0913017575215967,0.162917783735478,0.560416152418566,1,260.001923069811
"GSE211956","GSM6506111","all_macrophage_to_epithelial","first_order",1935,484,484,0.137741046831956,0.249962809917355,0.551046161136919,1,225.01555501787
"GSE211956","GSM6506111","all_macrophage_to_epithelial","second_order",1935,484,484,0.141299357208448,0.25201733241506,0.560673172175854,1,225.01555501787
"GSE211956","GSM6506112","SPP1_macrophage_to_ITGB1_receiver","first_order",1504,173,281,0.359344894026975,0.192949903660886,1.86237405258585,0.000999000999000999,129.495173655237
"GSE211956","GSM6506112","SPP1_macrophage_to_ITGB1_receiver","second_order",1504,173,281,0.330443159922929,0.187973667308927,1.75792261040403,0.000999000999000999,129.495173655237
"GSE211956","GSM6506112","SPP1_macrophage_to_CD44_receiver","first_order",1504,173,148,0.210982658959538,0.102438342967245,2.05960632364974,0.000999000999000999,130
"GSE211956","GSM6506112","SPP1_macrophage_to_CD44_receiver","second_order",1504,173,148,0.186255619781631,0.0977700706486834,1.9050371810705,0.000999000999000999,130
"GSE211956","GSM6506112","C1QC_macrophage_to_ITGB1_receiver","first_order",1504,307,281,0.294788273615635,0.193013572204126,1.52729297867134,0.000999000999000999,130
"GSE211956","GSM6506112","C1QC_macrophage_to_ITGB1_receiver","second_order",1504,307,281,0.292435758233804,0.188519724936663,1.55122101059745,0.000999000999000999,130
"GSE211956","GSM6506112","all_macrophage_to_epithelial","first_order",1504,377,377,0.375331564986737,0.250778514588859,1.49666555606678,0.000999000999000999,129.495173655237
"GSE211956","GSM6506112","all_macrophage_to_epithelial","second_order",1504,377,377,0.376657824933687,0.2492608311229,1.51109912952177,0.000999000999000999,129.495173655237
