"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE147082","0",821,"MMP11;COL10A1;SFRP4;EPDR1;CNTN1;C1QTNF3;NTM;COMP;INHBA.AS1;KCND2;INHBA;VCAN.AS1;SFRP2;VCAN;FAP;ITGA11;NUAK1;THBS2;SULF1;PLAU","","","",""
"GSE147082","1",747,"AL713998.1;AC011524.2;LINC01608;LINC01446;MIR205HG;AC008991.1;LINC02484;LINC02055;AL035401.1;AC008554.1;AP003306.1;LINC01532;LINC01933;PKHD1L1;GS1.24F4.2;LINC01322;GABRG3;SCEL;AL117329.1;AP003064.1","","","",""
"GSE147082","10",381,"GNLY;XCL1;TRDC;AC022075.1;GZMH;NKG7;AC015849.1;GZMA;IFNG;CCL5;LINC01871;KLRD1;PRF1;AC034238.1;AC244502.1;CD8A;GZMK;AL136018.1;TNIP3;GZMB","","","",""
"GSE147082","11",375,"FAM159B;BEX1;LRP4;CPNE4;RMST;AC243773.2;LRP4.AS1;AC069120.1;PTPRQ;XKR4;FGF13;EPHA6;LRRTM4;IL1RAPL2;DPP6;FGFR2;CLVS1;PART1;AC112206.2;GALNT17","","","",""
"GSE147082","12",311,"PRG4;CXCL6;DPYS;CADM3;CCBE1;CLDN1;PIEZO2;EGFL6;FLRT2;CXCL12;TDO2;CA12;DSC3;CALB2;OSR1;EFEMP1;SNCAIP;PHLDB2;TNFSF14;C3","","","",""
"GSE147082","13",238,"MEDAG;CFD;TEX26.AS1;CHRDL1;HAS1;ANGPTL4;HAS2;GFPT2;EFEMP1;AC015712.2;ADH1B;MT2P1;C7;DPT;ALDH1A3;F3;LMCD1;FGF7;MMP19;SRPX","","","",""
"GSE147082","14",201,"IGHV3.23;IGHG3;IGHG1;IGHG2;IGHG4;IGHGP;IGLL5;IGHA1;IGKC;IGLV3.1;IGLC3;IGLC2;IGHJ4;JCHAIN;AC244205.1;ENAM;MZB1;ANKRD36BP2;IGKJ5;IGHM","","","",""
"GSE147082","15",162,"AVPR1A;FAM162B;AL499616.1;HIGD1B;RGS5;HEYL;GJA4;MCAM;LPL;KCNJ8;GJC1;AC010185.1;TRPC6;CARMN;SEPT4;CCDC102B;MYH11;NOTCH3;NDE1;PARM1","","","",""
"GSE147082","16",152,"AC244100.2;ARHGEF15;ACKR1;ADGRL4;AP003501.1;CLEC14A;ROBO4;TM4SF18;CXorf36;AC093001.1;CLDN5;EMCN;CDH5;SELP;VWF;PLVAP;PCAT19;PTPRB;SOX18;FLT1","","","",""
"GSE147082","17",96,"RRM2;FBXO43;HJURP;CDCA2;CCNA2;KNL1;MKI67;TOP2A;NUSAP1;GTSE1;DLGAP5;AURKB;CDCA8;KIF18B;BUB1B;NCAPH;CEP55;ASPM;CENPE;BIRC5","","","",""
"GSE147082","18",45,"LILRA4;LINC01478;SHD;CLEC4C;DNASE1L3;GLT1D1;SMPD3;PLD4;LINC01226;NME8;ZFAT;GZMB;AL136018.1;COL26A1;SPIB;P2RY6;IRF8;PLAC8;SLC7A11.AS1;MPEG1","","","",""
"GSE147082","19",32,"TPSD1;AL662860.1;TPSB2;CTSG;ADCYAP1;CPA3;MS4A2;AC092979.1;CMA1;TPSAB1;HPGDS;LINC01835;AL132800.1;HDC;KIT;AL606804.1;KRT1;HPGD;SLC18A2;GATA2","","","",""
"GSE147082","2",660,"S100A14;FAM71E1;FOLR3;MIR3654;CDKN2A;PNOC;MMP7;AC026785.2;IRX3;SLC39A4;AXDND1;CYC1;MT1G;PRSS21;BTNL9;LY6E;CRNDE;CLDN7;MFSD3;ZNF90","","","",""
"GSE147082","20",27,"ZNF705G;LRRC3B;LINC02031;LINC02067;AL139275.2;AL845552.1;OFD1P13Y;NXPH1;WNT7B;LINC02549;PRYP2;AC105180.1;LINC00536;AC106892.1;DLX2.AS1;HS6ST3;DPPA4;AC080129.1;LINC01958;PPP1R12BP1","","","",""
"GSE147082","3",625,"OLR1;LYZ;AC020656.1;TMEM52B;SDS;FPR1;TREM2;VMO1;LILRB2;C1QB;CD163;TLR2;C1QA;C1QC;IL1B;FPR3;CLEC7A;MS4A6A;CD86;SPP1","","","",""
"GSE147082","4",556,"IL13RA2;SULT1C4;ATP1A2;CYYR1;SIX1;GNAL;FBN2;KAZALD1;LMO3;ESRRG;SCG5;SPAG17;CLU;CCDC173;MAP1B;MATN2;LIMCH1;ID1;MLF1;SPOCK1","","","",""
"GSE147082","5",532,"IL7R;ICOS;ITK;CTLA4;TCF7;CD6;AC245427.1;BCL11B;CAMK4;TRAC;ZNF831;CD3E;TRBC2;CD3D;TRAT1;CD247;BATF;CD2;TIGIT;CD3G","","","",""
