"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE151214","0",9899,"BIK;CD8A;DUSP4;WHRN;NSMCE3;RGCC;ORAI1;BORCS5;SRSF2;CXCL16;LAG3;MCL1;RNF166;SPOCK2;SLBP;SARAF;GSPT1;CDK17;BTG1;SH2D2A","","","",""
"GSE151214","1",4205,"CD40LG;CCR6;BATF;IL7R;TRAT1;TNFAIP8;TXNIP;THEMIS;FKBP5;SCML4;GIMAP7;CCR7;GPR171;TRAF3IP3;ITK;ICOS;ARHGAP15;ODF2L;JAML;ANKRD28","","","",""
"GSE151214","10",1771,"SIT1;CCR5;SAMSN1;PDCD1;TRGC2;ICOS;OASL;GRAP2;CXCR3;CXCR6;APOBEC3G;DHCR7;CLEC2D;LDLRAD4;FASLG;KLRB1;ASF1A;HOPX;ZNF683;GZMA","","","",""
"GSE151214","11",1493,"SPDEF;OVGP1;SCGB3A1;CRISP3;WFDC2;TTYH1;CLDN10;SLPI;MGST1;RNASE1;SCGB1D2;ASRGL1;GMPR;MED24;WDR77;CD24;S100A16;PART1;CLU;DMKN","","","",""
"GSE151214","12",1383,"IL4I1;TNFRSF25;LTB;CHN1;CCR7;TIFA;TNFRSF18;CCR6;TRAF1;RORA;PHLDA1;FLT3LG;CD28;CD40LG;CCL20;TRAF4;AQP3;CCDC107;IL7R;PIM1","","","",""
"GSE151214","13",1161,"S100A12;S100A8;S100A9;SERPINB2;AC245128.3;FCN1;CD300E;EREG;FPR2;AQP9;APOBEC3A;TREM1;FPR1;SMIM25;IL1RN;IL1A;MCEMP1;LYZ;MIR3945HG;CSTA","","","",""
"GSE151214","14",1134,"S1PR5;FGFBP2;FCGR3A;KLRF1;HAVCR2;LMNB1;NKG7;PRF1;GZMB;GTF3C1;CD300A;KLRG1;ADGRG1;PLAC8;GNLY;HSH2D;S1PR4;CLIC3;CMC1;SPON2","","","",""
"GSE151214","15",987,"ACKR1;CCL14;VWF;ADGRL4;CXorf36;EMCN;PLVAP;AQP1;FLT1;CYYR1;CLEC14A;TSPAN7;NRN1;LIFR;RAMP3;TM4SF18;EGFL7;CLDN5;ECSCR;ESAM","","","",""
"GSE151214","16",944,"TNFSF9;DEDD2;TBC1D10C;DNAJB1;HSPA1A;DUSP1;HSPA1B;PTGER2;DUSP2;DCK;CITED2;GIMAP4;HSPH1;RASAL3;SEPT1;IFNG;CD69;PTGER4;TSC22D3;CD8B","","","",""
"GSE151214","17",803,"LYPD1;MMP7;KRT7;EDN1;MSLN;S100A1;TACSTD2;C19orf33;DAPL1;EHF;UGT2B7;KLF5;CLDN4;CLU;PARD6B;FGGY;ERP27;PART1;BCAM;CRISP3","","","",""
"GSE151214","18",661,"C1QC;C1QB;C1QA;CLEC10A;MSR1;HLA-DQA1;CSF1R;FCER1A;APOC1;CSF2RA;HLA-DQB1;CYBB;HLA-DRA;MS4A7;HLA-DQA2;LY86;MS4A6A;IGSF6;HLA-DPA1;CD14","","","",""
"GSE151214","19",631,"TPSAB1;CPA3;TPSB2;MS4A2;GCSAML;SLC18A2;HPGDS;HDC;IL1RL1;AL157895.1;TMEM233;KIT;CALB2;RHEX;RGS13;PTAFR;VWA5A;GATA2;PTGS1;LIF","","","",""
"GSE151214","2",3939,"TGFB1;BRD9;AAK1;AC114760.2;LTB;AC058791.1;C1orf56;CDV3;PRMT9;CRYBG1;SOCS1;SCAND1;LINC00513;RCAN3;IKZF1;SMCHD1;CD3G;ARGLU1;KTN1;MIF","","","",""
"GSE151214","20",550,"HIGD1B;COX4I2;RERGL;NDUFA4L2;FHL5;PLN;STEAP4;CDH6;ITGA7;RGS5;NTRK2;FRZB;TINAGL1;MT1A;NPY1R;MT1M;SORBS2;NOTCH3;MYH11;C2orf40","","","",""
"GSE151214","21",529,"SCN1A;PTPRT;RP1;DCDC1;TMED6;C6;DNAH7;MAATS1;MUC15;FAM227A;ZDHHC11;CDHR4;CFAP47;TMEM212;ECT2L;CFAP43;DNAH3;LRRIQ1;CES4A;DNAAF1","","","",""
"GSE151214","22",427,"CX3CR1;FGFBP2;FCGR3A;KLRF1;PLEK;ADGRG1;TTC38;NKG7;PRF1;CMC1;KLRG1;FGR;PLAC8;GNLY;CCL4L2;FCRL6;GZMB;HAVCR2;KLRD1;GZMH","","","",""
"GSE151214","23",400,"IGKC;DES;MYLK;CNN1;TPM2;MYL9;TAGLN;TPM1;RAMP1;ACTA2;CSRP1;PENK;MDK;NUPR1;SOD3;TCEAL4;MGP;FXYD1;DSTN;BEX3","","","",""
"GSE151214","24",172,"C5orf49;FOXJ1;ODF3B;CAPS;C9orf24;TFF3;BIK;SNTN;HIST1H1C;RASAL3;PIFO;NSMCE3;SLBP;C11orf88;C12orf75;MORN2;AAED1;AL357093.2;DUSP2;STK17A","","","",""
"GSE151214","25",159,"CCL21;MMRN1;TBX1;PROX1;FLT4;LYVE1;GPM6A;SLC24A1;ROBO4;CLDN5;ECSCR;SMAD1;NRP2;LMO2;TM4SF18;CAVIN2;TIE1;PPFIBP1;LOX;EFNA5","","","",""
"GSE151214","3",3552,"IFNG;CCL4L2;CCL4;GZMK;TXNIP;SIT1;CRTAM;XCL2;MT1X;CD27;THEMIS;XCL1;PPP1R2C;MRPL1;CYTOR;ZFAND2A;DNAJB1;GIMAP4;GZMA;NEU1","","","",""
"GSE151214","4",3063,"ARC;C11orf96;WNT4;SFRP4;WNT2;MOXD1;VASN;ENTPD2;HSD11B2;NPPC;MEDAG;TWIST2;SNAI2;PGF;MMP11;FOSL1;SPSB1;NDN;HSPB6;CRABP2","","","",""
"GSE151214","5",2742,"BCHE;ABCA10;AC007952.4;FGF7;POSTN;RNASE4;ABCA8;PENK;MIR503HG;FBN1;LTBP1;PAPPA;ECM2;PEG3;OGN;DPT;PDGFRA;GLT8D2;ADH1B;CCDC80","","","",""
"GSE151214","6",2185,"ENTPD1;KLRC2;CD160;KIR2DL4;TRDC;SH2D1B;KRT81;LAT2;FCRL6;TMIGD2;TRGC1;KLRD1;TRGC2;GNLY;B3GNT7;SLAMF7;TRG-AS1;KLRC1;ZNF683;PTPN6","","","",""
"GSE151214","7",2163,"SFRP2;CFD;RARRES1;APOD;C7;SRPX;AC116366.1;MRNIP;CXCL12;NOVA1;GSN;ADH1B;PLEKHH2;MGP;PDGFRA;MAFB;COL6A2;ADM;CTSF;ADAMTS1","","","",""
"GSE151214","8",1947,"SCGB1D4;OMG;C11orf97;C11orf88;ROPN1L;WDR38;C9orf24;AL357093.2;CFAP126;ANKRD66;C5orf49;RIIAD1;GSTA1;DYNLRB2;C20orf85;CAPS;AKAP14;AL121899.1;CFAP53;C9orf135","","","",""
