"sample_id","seurat_cluster","n_cells"
"T59","0",2
"T76","0",4162
"T77","0",0
"T89","0",4
"T90","0",1
"T59","1",3092
"T76","1",7
"T77","1",15
"T89","1",35
"T90","1",37
"T59","10",801
"T76","10",0
"T77","10",1
"T89","10",40
"T90","10",1
"T59","11",0
"T76","11",1
"T77","11",177
"T89","11",445
"T90","11",61
"T59","12",141
"T76","12",330
"T77","12",48
"T89","12",64
"T90","12",40
"T59","13",81
"T76","13",391
"T77","13",13
"T89","13",54
"T90","13",31
"T59","14",432
"T76","14",0
"T77","14",0
"T89","14",0
"T90","14",0
"T59","15",10
"T76","15",145
"T77","15",4
"T89","15",205
"T90","15",37
"T59","16",0
"T76","16",0
"T77","16",385
"T89","16",0
"T90","16",1
"T59","17",1
"T76","17",370
"T77","17",0
"T89","17",0
"T90","17",0
"T59","18",2
"T76","18",0
"T77","18",1
"T89","18",214
"T90","18",150
"T59","19",5
"T76","19",1
"T77","19",211
"T89","19",81
"T90","19",54
"T59","2",3
"T76","2",0
"T77","2",1
"T89","2",1674
"T90","2",1505
"T59","20",0
"T76","20",0
"T77","20",0
"T89","20",163
"T90","20",184
"T59","21",248
"T76","21",2
"T77","21",76
"T89","21",0
"T90","21",1
"T59","22",67
"T76","22",0
"T77","22",1
"T89","22",165
"T90","22",44
"T59","23",0
"T76","23",258
"T77","23",0
"T89","23",0
"T90","23",0
"T59","24",0
"T76","24",0
"T77","24",0
"T89","24",156
"T90","24",88
"T59","25",0
"T76","25",203
"T77","25",0
"T89","25",0
"T90","25",1
"T59","26",1
"T76","26",0
"T77","26",174
"T89","26",0
"T90","26",0
"T59","27",88
"T76","27",1
"T77","27",3
"T89","27",24
"T90","27",10
"T59","28",83
"T76","28",3
"T77","28",13
"T89","28",20
"T90","28",1
"T59","29",1
"T76","29",71
"T77","29",0
"T89","29",0
"T90","29",0
"T59","3",13
"T76","3",3044
"T77","3",16
"T89","3",12
"T90","3",17
"T59","4",2583
"T76","4",1
"T77","4",0
"T89","4",11
"T90","4",5
"T59","5",0
"T76","5",2
"T77","5",1977
"T89","5",1
"T90","5",0
"T59","6",2
"T76","6",0
"T77","6",1701
"T89","6",3
"T90","6",0
"T59","7",0
"T76","7",1511
"T77","7",0
"T89","7",0
"T90","7",0
"T59","8",1508
"T76","8",1
"T77","8",0
"T89","8",1
"T90","8",0
"T59","9",0
"T76","9",0
"T77","9",0
"T89","9",4
"T90","9",973
