"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.90258565137208,0.321,0.025,0,"1","PKIB"
0,3.70674840386941,0.459,0.048,0,"1","MS4A4A"
0,3.64286672129561,0.602,0.08,0,"1","C15orf48"
0,3.61205888273357,0.915,0.423,0,"1","SPP1"
0,3.59902427475321,0.231,0.025,0,"1","SDS"
0,3.52979597647963,0.683,0.105,0,"1","MS4A6A"
0,3.47288930842561,0.329,0.039,0,"1","IFI30"
0,3.46675439797081,0.226,0.031,0,"1","CCL20"
0,3.36691058839139,0.275,0.029,0,"1","MARCH1"
0,3.35539878220888,0.457,0.075,0,"1","G0S2"
1.90929154027824e-279,3.33769212030059,0.221,0.053,6.40338196778515e-275,"1","CXCL10"
0,3.30670670728598,0.444,0.067,0,"1","TREM2"
0,3.28470715013916,0.209,0.024,0,"1","NLRP3"
0,3.2763360064786,0.307,0.035,0,"1","CALHM6"
0,3.25551848300492,0.57,0.079,0,"1","SPI1"
0,3.25223242040136,0.409,0.051,0,"1","LILRB4"
0,3.23683098619143,0.621,0.117,0,"1","C1QC"
0,3.19445503194747,0.387,0.054,0,"1","FCGR1A"
0,3.17828212116112,0.317,0.043,0,"1","MNDA"
0,3.15230106463318,0.246,0.031,0,"1","IL18"
0,4.85731135280829,0.204,0.008,0,"10","CLDN11"
0,4.63104415659084,0.204,0.01,0,"10","CALB2"
0,4.07800250981435,0.657,0.178,0,"10","MMP11"
0,3.96355660320618,0.235,0.01,0,"10","DES"
0,3.94689757271934,0.267,0.019,0,"10","STEAP1"
0,3.85692760874835,0.365,0.024,0,"10","EGFL6"
0,3.84117747946216,0.59,0.088,0,"10","PLAU"
0,3.82246002957703,0.881,0.188,0,"10","CTHRC1"
0,3.77774035295017,0.778,0.09,0,"10","MEG3"
0,3.77432079017839,0.229,0.018,0,"10","BICC1"
0,3.75813008040252,0.255,0.019,0,"10","PDGFRA"
0,3.68396116319285,0.549,0.055,0,"10","FAP"
0,3.59948861471298,0.27,0.019,0,"10","SNAI2"
0,3.5574680010178,0.421,0.043,0,"10","SLC12A8"
0,3.51841593509867,0.386,0.039,0,"10","GAS1"
0,3.40343502366416,0.477,0.054,0,"10","SULF1"
0,3.30752187649972,0.42,0.048,0,"10","CDH11"
0,3.29637815094459,0.278,0.028,0,"10","GLT8D2"
0,3.26267344355071,0.281,0.027,0,"10","BNC2"
0,3.21579739078794,0.572,0.07,0,"10","PDPN"
0,3.28761287519483,0.642,0.209,0,"4","LTB"
4.34546804869773e-230,2.86813207669662,0.265,0.083,1.45738307417225e-225,"4","CCR7"
5.9369545002322e-161,2.56141645798478,0.205,0.066,1.99113580028788e-156,"4","GPR171"
2.38673463128402e-135,2.40342821858681,0.212,0.078,8.00463060640036e-131,"4","AC058791.1"
1.18739003651566e-310,2.31512712501303,0.448,0.187,3.98226870446623e-306,"4","BIRC3"
2.01925054139918e-124,2.27951820713746,0.203,0.075,6.77216246574457e-120,"4","BATF"
0,2.22845662717437,0.691,0.285,0,"4","TRAC"
1.56130790454386e-109,2.18471824316066,0.201,0.081,5.23631445025919e-105,"4","CXCR3"
4.58055083076154e-217,2.18337031747895,0.34,0.137,1.5362251376208e-212,"4","LCK"
5.6914744612697e-269,2.10446518648809,0.399,0.155,1.90880670482063e-264,"4","IL7R"
2.34554627829163e-272,2.09121210043004,0.465,0.209,7.86649310813447e-268,"4","CD69"
3.79947442185365e-124,2.06448775883709,0.249,0.108,1.27426773160128e-119,"4","SOCS1"
3.55428794571717e-135,2.01911584731986,0.276,0.122,1.19203709123462e-130,"4","CD27"
0,2.01460999078748,0.581,0.251,0,"4","CD2"
4.30298231849275e-108,2.01242778574646,0.24,0.11,1.4431342099761e-103,"4","PIK3IP1"
4.34801822859171e-164,1.99153972049546,0.334,0.154,1.45823835350509e-159,"4","ITM2A"
1.96393012377158e-98,1.97301048890249,0.228,0.106,6.58662884910514e-94,"4","CLEC2D"
2.66407496686923e-223,1.96683979469893,0.381,0.161,8.93477462388603e-219,"4","CD7"
3.17670370895943e-90,1.94570319091406,0.213,0.099,1.06540288991081e-85,"4","LAT"
1.23055913502483e-109,1.90322306127676,0.258,0.123,4.12704922704628e-105,"4","RHOH"
0,7.04780453240483,0.594,0.007,0,"12","CLEC14A"
0,6.93246170403388,0.274,0.013,0,"12","ACKR1"
0,6.83048205477496,0.358,0.006,0,"12","RAMP3"
0,6.60219420800565,0.364,0.004,0,"12","EMCN"
0,6.30292061035822,0.283,0.003,0,"12","TM4SF18"
0,6.27912220885974,0.48,0.008,0,"12","ADGRL4"
0,6.27847927479798,0.303,0.005,0,"12","PCDH17"
0,6.07706023617349,0.647,0.015,0,"12","ECSCR"
0,6.02732127441901,0.395,0.006,0,"12","CXorf36"
0,6.00776472684445,0.302,0.004,0,"12","CDH5"
0,6.00639236524045,0.509,0.015,0,"12","PLVAP"
0,5.96675929589738,0.218,0.004,0,"12","CALCRL"
2.09012648265963e-194,5.90395060161244,0.372,0.069,7.00986619754386e-190,"12","FABP4"
0,5.88042399668344,0.682,0.041,0,"12","CLDN5"
0,5.84907530461577,0.706,0.027,0,"12","RAMP2"
0,5.78541731240503,0.302,0.01,0,"12","ESM1"
0,5.65770204561267,0.281,0.006,0,"12","ROBO4"
0,5.64564848007415,0.551,0.017,0,"12","PCAT19"
0,5.63257410115331,0.358,0.01,0,"12","FAM167B"
0,5.55830982372204,0.448,0.012,0,"12","CD34"
0,10.4112609405473,0.262,0,0,"27","CLEC4C"
0,9.96669438796521,0.389,0.001,0,"27","SHD"
0,9.40776306263377,0.643,0.002,0,"27","LILRA4"
0,9.37109859255325,0.405,0.001,0,"27","LRRC26"
0,8.61831732895091,0.429,0.001,0,"27","PTCRA"
0,7.92243026648566,0.532,0.003,0,"27","SMPD3"
0,7.80950475458708,0.516,0.004,0,"27","TCL1A"
0,7.5117105430992,0.286,0.002,0,"27","SMIM5"
0,6.97576378519045,0.302,0.003,0,"27","VASH2"
0,6.87642059720537,0.214,0.001,0,"27","AC119428.2"
0,6.75668097866275,0.286,0.004,0,"27","KRT5"
0,6.37990665182047,0.5,0.009,0,"27","IL3RA"
0,6.37175193130488,0.246,0.004,0,"27","FUT7"
0,6.29603419034067,0.27,0.003,0,"27","FAM129C"
0,5.92547057630935,0.532,0.012,0,"27","SPIB"
0,5.90603535892076,0.468,0.008,0,"27","SIDT1"
0,5.81312354737239,0.675,0.018,0,"27","IRF4"
0,5.76151896076643,0.595,0.018,0,"27","RASD1"
0,5.6393067951498,0.619,0.021,0,"27","PLD4"
0,5.42657230492229,0.817,0.04,0,"27","TSPAN13"
0,4.57378275270673,0.609,0.042,0,"8","LINC01986"
0,4.10417283232096,0.223,0.015,0,"8","CLDN10"
0,3.99808288170863,0.366,0.032,0,"8","LYPD2"
0,3.97503924243955,0.381,0.038,0,"8","PDZK1IP1"
0,3.96914339569854,0.809,0.213,0,"8","MMP7"
0,3.90345432985535,0.35,0.029,0,"8","C6orf132"
0,3.81587685402965,0.542,0.111,0,"8","RARRES1"
0,3.78303069581625,0.335,0.028,0,"8","THSD4"
0,3.77857318995769,0.583,0.1,0,"8","LCN2"
0,3.44193269908836,0.762,0.189,0,"8","KRT17"
0,3.43827740053521,0.252,0.029,0,"8","CP"
0,3.41076924406046,0.338,0.043,0,"8","MGST1"
0,3.39456327155952,0.421,0.056,0,"8","TACSTD2"
0,3.29897103699052,0.474,0.066,0,"8","ASRGL1"
0,3.26695572115951,0.921,0.387,0,"8","KRT18"
0,3.25619456873035,0.662,0.124,0,"8","CKB"
0,3.24824129114397,0.295,0.033,0,"8","AIF1L"
0,3.16856233277742,0.308,0.035,0,"8","RNF212"
0,3.14474666621685,0.841,0.326,0,"8","CD9"
0,3.14434610724341,0.916,0.357,0,"8","KRT8"
0,6.17141667843534,0.343,0.009,0,"21","VPREB3"
0,6.01394043542534,0.541,0.015,0,"21","MS4A1"
0,5.93781343645047,0.22,0.005,0,"21","IGHD"
0,5.83271313252295,0.85,0.043,0,"21","CD79A"
3.37051583592898e-320,5.52998482561537,0.269,0.012,1.13040360105386e-315,"21","BANK1"
0,4.83496993745724,0.703,0.086,0,"21","IGHM"
2.76781676067277e-244,4.54679970434671,0.382,0.035,9.28270385194434e-240,"21","CD79B"
3.08003216372824e-42,2.87969886123388,0.281,0.084,1.03298118707118e-37,"21","SMIM14"
3.73445541488312e-120,2.71786855476371,0.74,0.292,1.2524616570435e-115,"21","CD37"
2.19162314827172e-34,2.67694462298168,0.205,0.054,7.35026571467369e-30,"21","POU2F2"
1.51613112240984e-42,2.28742411760607,0.431,0.182,5.08480055833812e-38,"21","CD83"
4.84609835730769e-35,2.20984232531092,0.245,0.071,1.62528446707385e-30,"21","SELL"
1.90905096099742e-40,2.09705433790813,0.391,0.151,6.40257511299316e-36,"21","HLA-DMB"
1.38004745633416e-47,2.03869997889842,0.587,0.313,4.62840315905351e-43,"21","TXNIP"
6.59921757170938e-10,1.96198211701278,0.205,0.11,2.21324558919989e-05,"21","GABPB1-AS1"
4.68184256838722e-99,1.95458066588186,0.807,0.362,1.57019636058571e-94,"21","HLA-DQB1"
1.10382859783078e-30,1.915063898607,0.428,0.207,3.70202035140487e-26,"21","BIRC3"
9.13466375188153e-18,1.86804495832474,0.229,0.096,3.06358352910603e-13,"21","CCR7"
3.07957640329174e-11,1.85371285487037,0.232,0.126,1.03282833413598e-06,"21","SNX2"
9.16350124404338e-15,1.80529617454745,0.266,0.133,3.07325504722727e-10,"21","RHOH"
0,6.11401152225857,0.356,0.011,0,"14","KLRF1"
0,5.8598816630678,0.542,0.018,0,"14","TRDC"
4.74884593364373e-259,5.39457112114518,0.206,0.011,1.59266794922543e-254,"14","KRT81"
0,5.37788997543491,0.243,0.01,0,"14","KLRC1"
0,4.79900864928276,0.759,0.053,0,"14","KLRD1"
4.96047770653651e-230,4.7858637911155,0.218,0.015,1.66364501321822e-225,"14","KRT86"
0,4.2923946556854,0.799,0.093,0,"14","KLRB1"
0,4.04219075892546,0.715,0.11,0,"14","GNLY"
3.2206697256924e-210,3.95442939825867,0.343,0.041,1.08014821260272e-205,"14","MATK"
