"sample_id","qc_scope","min_features","max_features","min_counts","max_counts","max_percent_mt","n_before","n_after_basic_qc"
"P01_Time1","sample_wise",853,4855,500,303443,0,257,222
"P01_Time2","sample_wise",1149,5985,500,675620,0,203,165
"P02_Time1","sample_wise",2822.5,5066.5,37261.5,446251.5,0,108,95
"P02_Time2","sample_wise",744,2430,1019,25001,0,85,75
"P02_Time3","sample_wise",1308,3831,500,239235,0,244,206
"P03_Time1","sample_wise",200,2785,500,107985.5,0,114,95
"P03_Time2","sample_wise",3246.5,6726.5,500,580753,0,154,123
"P03_Time3","sample_wise",2780,6428,500,601276,0,182,147
"P04_Time1","sample_wise",200,7639.5,500,20137,0,6668,5071
"P04_Time2","sample_wise",200,1956,500,3074,0,7530,5605
"P04_Time3","sample_wise",200,2203.5,500,6081.5,0,2600,1889
"P05_Time1","sample_wise",883,5563,500,21968,0,3950,3483
"P05_Time2","sample_wise",525,4551,500,14283,0,4497,4055
"P05_Time3","sample_wise",302,4280,500,13786.5,0,5100,4434
"P06_Time1","sample_wise",200,7237,500,19840,0,2149,1319
"P06_Time2","sample_wise",200,4744,500,7884.5,0,376,177
"P06_Time3","sample_wise",200,4463,500,7054,0,2207,893
"P07_Time1","sample_wise",200,2923,500,5415,0,6984,4714
"P07_Time2","sample_wise",200,2187,500,3696.5,0,15422,10810
"P08_Time1","sample_wise",200,1949,500,2743,0,6529,5343
"P08_Time2","sample_wise",200,3740,500,6099.5,0,6228,4876
"P08_Time3","sample_wise",200,6801.5,500,16317,0,5304,4098
"P09_Time1","sample_wise",200,6740,500,12046,0,2349,1258
"P09_Time2","sample_wise",200,9951.5,500,27288.5,0,2674,1824
"P09_Time3","sample_wise",200,6283.5,500,10998.5,0,2828,1482
"P10_Pre-treatment","sample_wise",200,5079.5,500,9171,0,684,288
"P11_Pre-treatment","sample_wise",200,3308,500,4916,0,5343,3636
"P12_Pre-treatment","sample_wise",200,2778,500,4317,0,7520,6374
"P13_Pre-treatment","sample_wise",200,4298,500,7657,0,3786,2581
"P14_Pre-treatment","sample_wise",200,5692,500,27333,0,4474,3835
"P15_Pre-treatment","sample_wise",200,1500,500,2408,0,4894,2475
"P16_Pre-treatment","sample_wise",200,6768,500,19570,0,4974,3854
"P17_Pre-treatment","sample_wise",200,6211,500,16114,0,5508,3939
"P18_Post-treatment","sample_wise",200,7682,500,19250,0,2605,1781
"P19_Post-treatment","sample_wise",319,9439,500,71292,0,1892,1726
"P20_Post-treatment","sample_wise",200,8280,500,25064,0,2654,1464
"P21_Post-treatment","sample_wise",200,5223,500,16795.5,0,8014,6415
"P23_Post-treatment","sample_wise",200,3480,500,5748,0,5285,3271
"P24_Post-treatment","sample_wise",333,9039,500,66815,0,3140,2453
