"category","status","relative_path","size_bytes","modified"
"00_CLASSIFICATION_README.md","classified","00_CLASSIFICATION_README.md","7386","2026-07-10 12:31:43"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\extract_seurat_v5_minimal.R","1495","2026-07-06 13:32:30"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_B_object_minimal.R","1172","2026-07-07 19:37:33"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_final_infercnv_obj.R","975","2026-07-08 12:48:19"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_infercnv_cellchat_inputs.R","1680","2026-07-06 13:20:17"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_infercnv_object_minimal.R","222","2026-07-06 13:36:20"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_integrated_oc_Bcells.R","1955","2026-07-07 18:28:50"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_integrated_oc_reductions.R","1208","2026-07-07 22:38:57"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_oc_objects_minimal.R","2719","2026-07-06 23:51:12"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_seurat_v5_layers.R","670","2026-07-06 13:30:00"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\01_incoming_data.infercnv_obj","264300095","2026-07-06 2:42:01"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\02_reduced_by_cutoff.infercnv_obj","166683084","2026-07-05 22:08:30"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\03_normalized_by_depthHMMi6.infercnv_obj","175965264","2026-07-05 22:12:24"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\04_logtransformedHMMi6.infercnv_obj","179647989","2026-07-06 2:23:38"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\08_remove_ref_avg_from_obs_logFCHMMi6.infercnv_obj","720708265","2026-07-06 1:37:05"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\09_apply_max_centered_expr_thresholdHMMi6.infercnv_obj","887791520","2026-07-06 1:37:05"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\10_smoothed_by_chrHMMi6.infercnv_obj","266232640","2026-07-06 2:42:01"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\11_recentered_cells_by_chrHMMi6.infercnv_obj","265970600","2026-07-06 2:42:01"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\12_remove_ref_avg_from_obs_adjustHMMi6.infercnv_obj","598892420","2026-07-06 1:37:05"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\14_invert_log_transformHMMi6.infercnv_obj","890182635","2026-07-06 1:37:05"
"00_raw_objects_and_infercnv","classified","00_raw_objects_and_infercnv\infercnv_Other_vs_Immune_subcluster\15_tumor_subclustersHMMi6.leiden.infercnv_obj","148150865","2026-07-06 2:42:01"
