"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"CNV_Subclone_03","Myeloid_cDC1","MIF","CD74",19.7182019711853,3.0661623920733,6.63227775258739,0.969637610186092,1
"CNV_Subclone_03","Myeloid_cDC2-like","MIF","CD74",18.151111607347,3.0661623920733,6.10518209895897,0.969637610186092,1
"CNV_Subclone_03","Myeloid_cDC2","MIF","CD74",17.8166412008264,3.0661623920733,5.99268195116116,0.969637610186092,1
"CNV_Subclone_04","Myeloid_cDC1","MIF","CD74",17.517751609575,2.66794014087478,6.63227775258739,0.99000999000999,1
"CNV_Subclone_03","Myeloid_mDC_LAMP3","MIF","CD74",17.3855221402807,3.0661623920733,5.84767373194563,0.969637610186092,1
"CNV_Subclone_02","Myeloid_cDC1","MIF","CD74",16.8629205768003,2.56651718010494,6.63227775258739,0.990662931839402,1
"CNV_Subclone_03","DC","MIF","CD74",16.6663139740135,3.0661623920733,5.60576585781069,0.969637610186092,1
"CNV_Subclone_03","B_Bn_TCL1A","MIF","CD74",16.3694696820624,3.0661623920733,5.52929115422946,0.969637610186092,0.995773457311919
"CNV_Subclone_03","Myeloid_Macro-C3/CX3CR1","MIF","CD74",16.3344990562441,3.0661623920733,5.49415889180462,0.969637610186092,1
"CNV_Subclone_03","B_Classical-Bm_TXNIP","MIF","CD74",16.277002056078,3.0661623920733,5.47481959932758,0.969637610186092,1
"CNV_Subclone_04","Myeloid_cDC2-like","MIF","CD74",16.1255405051551,2.66794014087478,6.10518209895897,0.99000999000999,1
"CNV_Subclone_04","Myeloid_cDC2","MIF","CD74",15.8283952831545,2.66794014087478,5.99268195116116,0.99000999000999,1
"CNV_Subclone_05","Myeloid_cDC1","MIF","CD74",15.7579472179388,2.59194329842544,6.63227775258739,0.916666666666667,1
"CNV_Subclone_02","Myeloid_cDC2-like","MIF","CD74",15.5227517124844,2.56651718010494,6.10518209895897,0.990662931839402,1
"CNV_Subclone_04","Myeloid_mDC_LAMP3","MIF","CD74",15.445386901973,2.66794014087478,5.84767373194563,0.99000999000999,1
"CNV_Subclone_03","B_Bm_stress-response","MIF","CD74",15.3066636895863,3.0661623920733,5.14844331157228,0.969637610186092,1
"CNV_Subclone_02","Myeloid_cDC2","MIF","CD74",15.2367140753465,2.56651718010494,5.99268195116116,0.990662931839402,1
