"cnv_subclone","module","mean_score","median_score"
"Subclone_01","EMT",0.409085782722127,0.25579597096819
"Subclone_05","EMT",0.304580575242363,0.251215667246759
"Subclone_02","EMT",0.291682316240058,0.246542712695735
"Subclone_04","EMT",0.266567743786848,0.209464312721827
"Subclone_03","EMT",0.191747340785591,0.15613423571292
"Subclone_04","Hypoxia",0.4935703023044,0.454821811785887
"Subclone_03","Hypoxia",0.47293342399349,0.4659027453599
"Subclone_02","Hypoxia",0.467397133172412,0.44381136399226
"Subclone_01","Hypoxia",0.343702896260416,0.325503403913401
"Subclone_05","Hypoxia",0.293681685043992,0.261694902911819
"Subclone_04","Immune_modulatory",0.984461218081911,0.957426545354247
"Subclone_01","Immune_modulatory",0.942902697068121,0.757189734324043
"Subclone_02","Immune_modulatory",0.874605420444168,0.839478358965713
"Subclone_05","Immune_modulatory",0.797562267551292,0.769402392407224
"Subclone_03","Immune_modulatory",0.684134169782798,0.619011106192643
"Subclone_02","KRAS_activation",1.03413345806513,1.09705470844973
"Subclone_04","KRAS_activation",0.921129273702395,0.985291527038841
"Subclone_05","KRAS_activation",0.617144276337978,0.596557223266737
"Subclone_01","KRAS_activation",0.540663529778459,0.451643931417098
"Subclone_03","KRAS_activation",0.507332445601289,0.414070232619081
"Subclone_01","LAPTM5_axis",0.316177064815934,0
"Subclone_04","LAPTM5_axis",0.106995582380647,0
"Subclone_05","LAPTM5_axis",0.10482091235035,0
"Subclone_02","LAPTM5_axis",0.053400265138695,0
"Subclone_03","LAPTM5_axis",0.0433742805556392,0
"Subclone_01","M2_related",0.550970978566608,0.483402196306069
"Subclone_04","M2_related",0.484004520722198,0.433862699887239
"Subclone_02","M2_related",0.474277944151838,0.443176180209892
"Subclone_03","M2_related",0.454853811400857,0.432880489095354
"Subclone_05","M2_related",0.414392292411749,0.402574331513193
"Subclone_01","Proliferation",0.161448540181148,0
"Subclone_03","Proliferation",0.15054278853735,0.0769786256690845
"Subclone_04","Proliferation",0.11539209328854,0.0822710736384527
"Subclone_02","Proliferation",0.110323587302389,0.0807940199871577
"Subclone_05","Proliferation",0.0833752757567825,0
"Subclone_02","Stemness_epithelial",0.990343298974939,0.972969451735751
"Subclone_04","Stemness_epithelial",0.913648395692026,0.909523510978474
"Subclone_05","Stemness_epithelial",0.800016226348708,0.819788098093948
"Subclone_03","Stemness_epithelial",0.701266697308647,0.716316076439448
"Subclone_01","Stemness_epithelial",0.378461212843712,0.343629843459481
