label_type,cnv_subclone,neighbor_label,clone_n_cells,neighbor_n,observed_prop,expected_prop_perm_mean,enrichment_ratio,z_score,empirical_p_greater,empirical_p_less,global_prop
cell_type,Subclone_01,B cells,3318,169,0.001697809925658027,0.05951990932226181,0.028525075810607918,-14.755062792336677,1.0,0.000999000999000999,0.05946154158050521
cell_type,Subclone_01,DC,3318,2,2.0092425155716293e-05,0.0337492935359478,0.0005953435776163729,-11.337125764345544,1.0,0.000999000999000999,0.03367392450229088
cell_type,Subclone_01,Macrophages,3318,1263,0.01268836648583484,0.2507479190826416,0.050602080895646454,-32.69374993576659,1.0,0.000999000999000999,0.2509427076997932
cell_type,Subclone_01,Monocytes,3318,6,6.027727546714889e-05,0.03958236426115036,0.001522831609285915,-12.268095720765798,1.0,0.000999000999000999,0.03959372339131492
cell_type,Subclone_01,NK cells,3318,85,0.0008539280691179425,0.023700088262557983,0.03603058603233138,-9.369288668990064,1.0,0.000999000999000999,0.023719742123829216
cell_type,Subclone_01,Other,3318,83061,0.8344484629294756,0.13233958184719086,6.30535816482322,128.51292386955384,0.000999000999000999,1.0,0.13191825811945018
cell_type,Subclone_01,Smooth_muscle_cells,3318,2684,0.026964034558971266,0.15109889209270477,0.17845289389963118,-20.413778813378958,1.0,0.000999000999000999,0.15121842436037788
cell_type,Subclone_01,T cells,3318,12270,0.12326702833031947,0.309262216091156,0.398584184929937,-24.31432620809673,1.0,0.000999000999000999,0.3094716782224385
cell_type,Subclone_02,B cells,1071,21,0.00065359477124183,0.05914485827088356,0.011050745413039367,-10.350691985171876,1.0,0.000999000999000999,0.05946154158050521
cell_type,Subclone_02,DC,1071,0,0.0,0.03351445123553276,0.0,-8.101642600216714,1.0,0.000999000999000999,0.03367392450229088
cell_type,Subclone_02,Macrophages,1071,86,0.0026766262060379706,0.2510816752910614,0.010660380543244127,-24.27521144746593,1.0,0.000999000999000999,0.2509427076997932
cell_type,Subclone_02,Monocytes,1071,0,0.0,0.039702773094177246,0.0,-8.775528045884142,1.0,0.000999000999000999,0.03959372339131492
cell_type,Subclone_02,NK cells,1071,1,3.112356053532524e-05,0.023739874362945557,0.0013110246524263216,-6.5733541714873915,1.0,0.000999000999000999,0.023719742123829216
cell_type,Subclone_02,Other,1071,30741,0.9567693744164333,0.1320795863866806,7.243885301210463,104.40626902142813,0.000999000999000999,1.0,0.13191825811945018
cell_type,Subclone_02,Smooth_muscle_cells,1071,718,0.022346716464363522,0.15120412409305573,0.1477917126824574,-14.945654184136005,1.0,0.000999000999000999,0.15121842436037788
cell_type,Subclone_02,T cells,1071,563,0.017522564581388112,0.3095323443412781,0.05660980153359491,-27.27865877621904,1.0,0.000999000999000999,0.3094716782224385
cell_type,Subclone_03,B cells,1021,4,0.0001305909239307868,0.05943327769637108,0.00219726942535361,-12.867926275943326,1.0,0.000999000999000999,0.05946154158050521
cell_type,Subclone_03,DC,1021,0,0.0,0.033749449998140335,0.0,-9.098770387099892,1.0,0.000999000999000999,0.03367392450229088
cell_type,Subclone_03,Macrophages,1021,64,0.002089454782892589,0.25102823972702026,0.008323584570264919,-28.616149644075417,1.0,0.000999000999000999,0.2509427076997932
cell_type,Subclone_03,Monocytes,1021,0,0.0,0.03981289640069008,0.0,-9.732585712677393,1.0,0.000999000999000999,0.03959372339131492
cell_type,Subclone_03,NK cells,1021,0,0.0,0.023714182898402214,0.0,-7.433293378352263,1.0,0.000999000999000999,0.023719742123829216
cell_type,Subclone_03,Other,1021,28060,0.9160953313744695,0.1320541352033615,6.937271066625029,116.85356318062314,0.000999000999000999,1.0,0.13191825811945018
cell_type,Subclone_03,Smooth_muscle_cells,1021,165,0.0053868756121449556,0.15087531507015228,0.03570415484892427,-20.41522851319682,1.0,0.000999000999000999,0.15121842436037788
cell_type,Subclone_03,T cells,1021,2337,0.07629774730656219,0.3093324601650238,0.24665289658207415,-24.36668668568079,1.0,0.000999000999000999,0.3094716782224385
cell_type,Subclone_04,B cells,1001,37,0.001232101232101232,0.05956216901540756,0.020685969844088648,-12.259668312544306,1.0,0.000999000999000999,0.05946154158050521
cell_type,Subclone_04,DC,1001,1,3.33000333000333e-05,0.033627331256866455,0.0009902669065727206,-9.395977241441015,1.0,0.000999000999000999,0.03367392450229088
cell_type,Subclone_04,Macrophages,1001,196,0.006526806526806527,0.2504931688308716,0.026055826421411545,-27.55657568712497,1.0,0.000999000999000999,0.2509427076997932
cell_type,Subclone_04,Monocytes,1001,0,0.0,0.039599452167749405,0.0,-10.479998309184266,1.0,0.000999000999000999,0.03959372339131492
cell_type,Subclone_04,NK cells,1001,0,0.0,0.02375645749270916,0.0,-8.092289970713859,1.0,0.000999000999000999,0.023719742123829216
cell_type,Subclone_04,Other,1001,26956,0.8976356976356976,0.13193900883197784,6.803413983341514,113.93283921269025,0.000999000999000999,1.0,0.13191825811945018
