"cell_group_name","cnv_name","state","chr","start","end","cnv_subclone","event"
"observation.observation_s1","chr1-region_2",2,"chr1",11934205,30757820,"Subclone_01","loss"
"observation.observation_s1","chr1-region_4",4,"chr1",37996770,84497790,"Subclone_01","gain"
"observation.observation_s1","chr1-region_6",4,"chr1",153929501,247449108,"Subclone_01","gain"
"observation.observation_s1","chr2-region_8",4,"chr2",173906459,203738912,"Subclone_01","gain"
"observation.observation_s1","chr3-region_10",4,"chr3",3144628,18444817,"Subclone_01","gain"
"observation.observation_s1","chr4-region_13",4,"chr4",109560205,189963204,"Subclone_01","gain"
"observation.observation_s1","chr6-region_16",2,"chr6",26156354,33416453,"Subclone_01","loss"
"observation.observation_s1","chr7-region_19",4,"chr7",56101569,99500324,"Subclone_01","gain"
"observation.observation_s1","chr8-region_21",4,"chr8",614746,145056030,"Subclone_01","gain"
"observation.observation_s1","chr9-region_22",4,"chr9",14521,33447611,"Subclone_01","gain"
"observation.observation_s1","chr11-region_26",4,"chr11",72106378,102470384,"Subclone_01","gain"
"observation.observation_s1","chr12-region_29",4,"chr12",113157174,132956304,"Subclone_01","gain"
"observation.observation_s1","chr14-region_32",4,"chr14",102080738,106811131,"Subclone_01","gain"
"observation.observation_s1","chr17-region_36",2,"chr17",4940008,15265326,"Subclone_01","loss"
"observation.observation_s1","chr19-region_39",2,"chr19",507497,6393981,"Subclone_01","loss"
"observation.observation_s1","chr19-region_41",2,"chr19",14517085,49499689,"Subclone_01","loss"
"observation.observation_s1","chr20-region_44",4,"chr20",35953617,64287821,"Subclone_01","gain"
"observation.observation_s1","chr22-region_46",4,"chr22",17084954,23895227,"Subclone_01","gain"
"observation.observation_s9","chr1-region_48",2,"chr1",944204,30908761,"Subclone_04","loss"
"observation.observation_s9","chr1-region_50",4,"chr1",34981535,38874105,"Subclone_04","gain"
"observation.observation_s9","chr1-region_51",5,"chr1",38991223,78017964,"Subclone_04","gain"
"observation.observation_s9","chr1-region_52",4,"chr1",78619922,94927278,"Subclone_04","gain"
"observation.observation_s9","chr1-region_54",4,"chr1",150293720,153391188,"Subclone_04","gain"
"observation.observation_s9","chr1-region_55",5,"chr1",153534599,160754821,"Subclone_04","gain"
"observation.observation_s9","chr1-region_56",4,"chr1",160796074,211316385,"Subclone_04","gain"
"observation.observation_s9","chr1-region_57",5,"chr1",211571568,247449108,"Subclone_04","gain"
"observation.observation_s9","chr2-region_59",4,"chr2",160272151,189012746,"Subclone_04","gain"
"observation.observation_s9","chr2-region_60",5,"chr2",189560579,202303666,"Subclone_04","gain"
"observation.observation_s9","chr2-region_61",4,"chr2",202376936,219178106,"Subclone_04","gain"
"observation.observation_s9","chr3-region_63",4,"chr3",3144628,28325142,"Subclone_04","gain"
"observation.observation_s9","chr3-region_65",2,"chr3",184361718,197956610,"Subclone_04","loss"
"observation.observation_s9","chr4-region_67",4,"chr4",106315544,189963204,"Subclone_04","gain"
"observation.observation_s9","chr6-region_69",4,"chr6",291630,13632739,"Subclone_04","gain"
"observation.observation_s9","chr6-region_71",2,"chr6",29722775,33204439,"Subclone_04","loss"
"observation.observation_s9","chr6-region_73",4,"chr6",35832966,42050357,"Subclone_04","gain"
"observation.observation_s9","chr6-region_74",5,"chr6",42206801,117710640,"Subclone_04","gain"
"observation.observation_s9","chr6-region_75",4,"chr6",118894220,170584692,"Subclone_04","gain"
