"cnv_subclone","chr","event","n_regions"
"Subclone_01","chr1","gain",118
"Subclone_02","chr1","gain",35
"Subclone_03","chr1","gain",46
"Subclone_04","chr1","gain",35
"Subclone_05","chr1","gain",14
"Subclone_01","chr10","gain",5
"Subclone_03","chr10","gain",1
"Subclone_01","chr11","gain",63
"Subclone_02","chr11","gain",15
"Subclone_03","chr11","gain",16
"Subclone_04","chr11","gain",10
"Subclone_05","chr11","gain",7
"Subclone_01","chr12","gain",57
"Subclone_02","chr12","gain",9
"Subclone_03","chr12","gain",13
"Subclone_04","chr12","gain",10
"Subclone_05","chr12","gain",3
"Subclone_01","chr13","gain",10
"Subclone_01","chr14","gain",21
"Subclone_02","chr14","gain",2
"Subclone_03","chr14","gain",7
"Subclone_04","chr14","gain",2
"Subclone_01","chr15","gain",10
"Subclone_03","chr15","gain",1
"Subclone_05","chr15","gain",2
"Subclone_01","chr16","gain",44
"Subclone_02","chr16","gain",15
"Subclone_03","chr16","gain",16
"Subclone_04","chr16","gain",11
"Subclone_05","chr16","gain",6
"Subclone_01","chr17","gain",5
"Subclone_03","chr17","gain",1
"Subclone_01","chr18","gain",8
"Subclone_01","chr19","gain",18
"Subclone_02","chr19","gain",4
"Subclone_03","chr19","gain",13
"Subclone_04","chr19","gain",1
"Subclone_01","chr2","gain",44
"Subclone_02","chr2","gain",9
"Subclone_03","chr2","gain",10
"Subclone_04","chr2","gain",7
"Subclone_05","chr2","gain",2
"Subclone_01","chr20","gain",57
"Subclone_02","chr20","gain",11
"Subclone_03","chr20","gain",18
"Subclone_04","chr20","gain",10
"Subclone_05","chr20","gain",4
"Subclone_01","chr21","gain",2
"Subclone_04","chr21","gain",1
"Subclone_01","chr22","gain",3
"Subclone_03","chr22","gain",1
"Subclone_01","chr3","gain",24
"Subclone_02","chr3","gain",4
"Subclone_03","chr3","gain",9
"Subclone_04","chr3","gain",3
"Subclone_05","chr3","gain",1
"Subclone_01","chr4","gain",31
"Subclone_02","chr4","gain",4
"Subclone_03","chr4","gain",5
"Subclone_04","chr4","gain",5
"Subclone_05","chr4","gain",2
"Subclone_01","chr5","gain",10
"Subclone_02","chr5","gain",2
"Subclone_03","chr5","gain",2
"Subclone_04","chr5","gain",1
"Subclone_01","chr6","gain",34
"Subclone_02","chr6","gain",4
"Subclone_03","chr6","gain",10
"Subclone_04","chr6","gain",12
"Subclone_05","chr6","gain",1
"Subclone_01","chr7","gain",39
"Subclone_02","chr7","gain",7
"Subclone_03","chr7","gain",7
"Subclone_04","chr7","gain",5
"Subclone_05","chr7","gain",2
"Subclone_01","chr8","gain",57
"Subclone_02","chr8","gain",10
"Subclone_03","chr8","gain",19
"Subclone_04","chr8","gain",11
"Subclone_05","chr8","gain",4
"Subclone_01","chr9","gain",33
"Subclone_02","chr9","gain",5
"Subclone_03","chr9","gain",7
"Subclone_04","chr9","gain",5
"Subclone_05","chr9","gain",2
"Subclone_01","chr1","loss",31
"Subclone_02","chr1","loss",5
"Subclone_03","chr1","loss",7
"Subclone_04","chr1","loss",5
"Subclone_05","chr1","loss",2
"Subclone_01","chr10","loss",25
"Subclone_02","chr10","loss",10
"Subclone_03","chr10","loss",9
"Subclone_04","chr10","loss",10
"Subclone_05","chr10","loss",3
"Subclone_01","chr11","loss",17
"Subclone_02","chr11","loss",4
"Subclone_03","chr11","loss",6
"Subclone_04","chr11","loss",5
"Subclone_05","chr11","loss",1
"Subclone_01","chr12","loss",11
"Subclone_02","chr12","loss",3
"Subclone_03","chr12","loss",3
"Subclone_04","chr12","loss",2
"Subclone_05","chr12","loss",1
"Subclone_01","chr13","loss",7
"Subclone_03","chr13","loss",3
"Subclone_04","chr13","loss",2
"Subclone_05","chr13","loss",1
"Subclone_01","chr14","loss",3
"Subclone_03","chr14","loss",1
"Subclone_04","chr14","loss",1
"Subclone_01","chr15","loss",7
"Subclone_03","chr15","loss",4
"Subclone_04","chr15","loss",2
"Subclone_01","chr16","loss",2
"Subclone_01","chr17","loss",41
"Subclone_02","chr17","loss",8
"Subclone_03","chr17","loss",10
"Subclone_04","chr17","loss",10
"Subclone_05","chr17","loss",4
"Subclone_01","chr18","loss",2
"Subclone_03","chr18","loss",1
"Subclone_01","chr19","loss",52
"Subclone_02","chr19","loss",7
"Subclone_03","chr19","loss",10
"Subclone_04","chr19","loss",9
"Subclone_05","chr19","loss",5
"Subclone_01","chr2","loss",10
"Subclone_02","chr2","loss",3
"Subclone_03","chr2","loss",3
"Subclone_04","chr2","loss",3
"Subclone_01","chr21","loss",2
"Subclone_02","chr21","loss",1
"Subclone_03","chr21","loss",2
"Subclone_01","chr22","loss",21
"Subclone_02","chr22","loss",5
"Subclone_03","chr22","loss",7
"Subclone_04","chr22","loss",5
"Subclone_05","chr22","loss",2
"Subclone_01","chr3","loss",3
"Subclone_02","chr3","loss",1
"Subclone_04","chr3","loss",3
"Subclone_01","chr4","loss",2
"Subclone_03","chr4","loss",2
"Subclone_01","chr5","loss",4
"Subclone_03","chr5","loss",4
"Subclone_01","chr6","loss",36
"Subclone_02","chr6","loss",7
"Subclone_03","chr6","loss",7
"Subclone_04","chr6","loss",5
"Subclone_05","chr6","loss",2
"Subclone_01","chr9","loss",8
"Subclone_02","chr9","loss",5
"Subclone_03","chr9","loss",2
"Subclone_04","chr9","loss",5
"Subclone_05","chr9","loss",2
